JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.61  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    143.59      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   241122 3600 050000-060000   00    -999.00  633.9    143.77     0.13    -9999
JUNGFRAU   241122 3600 060000-070000   00    -999.00  634.4    143.89     0.21    -9999
JUNGFRAU   241122 3600 070000-080000   00    -999.00  635.1    144.02     0.30    -9999
JUNGFRAU   241122 3600 080000-090000   00    -999.00  635.8    143.20    -0.27    -9999
JUNGFRAU   241122 3600 090000-100000   00    -999.00  636.4    143.95     0.25    -9999
JUNGFRAU   241122 3600 100000-110000   00    -999.00  637.1    143.94     0.24    -9999
JUNGFRAU   241122 3600 110000-120000   00    -999.00  637.3    144.62     0.72    -9999
JUNGFRAU   241122 3600 120000-130000   00    -999.00  637.7    145.05     1.02    -9999
JUNGFRAU   241122 3600 130000-140000   00    -999.00  637.8    145.02     1.00    -9999
JUNGFRAU   241122 3600 140000-150000   00    -999.00  638.5    144.74     0.81    -9999
JUNGFRAU   241122 3600 150000-160000   00    -999.00  639.5    145.12     1.07    -9999
JUNGFRAU   241122 3600 160000-170000   00    -999.00  640.3    146.10     1.75    -9999
JUNGFRAU   241122 3600 170000-180000   00    -999.00  641.2    147.17     2.49    -9999
JUNGFRAU   241122 3600 180000-190000   00    -999.00  642.0    145.38     1.25    -9999
JUNGFRAU   241122 3600 190000-200000   00    -999.00  642.6    145.87     1.59    -9999
JUNGFRAU   241122 3600 200000-210000   00    -999.00  643.7    144.98     0.97    -9999
JUNGFRAU   241122 3600 210000-220000   00    -999.00  644.5    144.99     0.98    -9999
JUNGFRAU   241122 3600 220000-230000   00    -999.00  645.4    145.07     1.03    -9999
JUNGFRAU   241122 3600 230000-240000   00    -999.00  646.4    146.13     1.77    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076JUNG_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
