NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013    MB     COEFFICIENT   -0.75     % / MB
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    191.91      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NAIN       241122 3600 160000-170000   00     174.29 1024.4    190.93    -0.51    -9999
NAIN       241122 3600 170000-180000   00     175.34 1024.0    191.56    -0.19    -9999
NAIN       241122 3600 180000-190000   00     175.75 1023.8    191.72    -0.10    -9999
NAIN       241122 3600 190000-200000   00     175.98 1023.9    192.07     0.08    -9999
NAIN       241122 3600 200000-210000   00     177.34 1023.6    193.16     0.65    -9999
NAIN       241122 3600 210000-220000   00     177.65 1023.0    192.62     0.37    -9999
NAIN       241122 3600 220000-230000   00     178.21 1022.6    192.62     0.37    -9999
NAIN       241122 3600 230000-240000   00     177.99 1022.4    192.06     0.08    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076NAIN_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
