MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.71     % / mb
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    164.96      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSCOW     170911 300  063500-064000   00     177.73  992.3    168.17     1.95    -9999
MOSCOW     170911 300  064000-064500   00     176.82  992.3    167.27     1.40    -9999
MOSCOW     170911 300  064500-065000   00     177.60  992.3    168.05     1.87    -9999
MOSCOW     170911 300  065000-065500   00     177.90  992.4    168.42     2.10    -9999
MOSCOW     170911 300  065500-070000   00     176.30  992.4    166.95     1.21    -9999
MOSCOW     170911 300  070000-070500   00     178.53  992.5    169.13     2.53    -9999
MOSCOW     170911 300  070500-071000   00     178.42  992.5    169.00     2.45    -9999
MOSCOW     170911 300  071000-071500   00     178.78  992.4    169.28     2.62    -9999
MOSCOW     170911 300  071500-072000   00     176.48  992.5    167.18     1.35    -9999
MOSCOW     170911 300  072000-072500   00     178.25  992.5    168.85     2.36    -9999
MOSCOW     170911 300  072500-073000   00     177.47  992.5    168.13     1.92    -9999
MOSCOW     170911 300  073000-073500   00     177.83  992.5    168.48     2.13    -9999
MOSCOW     170911 300  073500-074000   00     178.48  992.4    168.97     2.43    -9999
MOSCOW     170911 300  074000-074500   00     176.07  992.3    166.52     0.95    -9999
MOSCOW     170911 300  074500-075000   00     176.60  992.2    166.97     1.22    -9999
MOSCOW     170911 300  075000-075500   00     177.35  992.2    167.67     1.64    -9999
MOSCOW     170911 300  075500-080000   00     176.83  992.2    167.17     1.34    -9999
MOSCOW     170911 300  080000-080500   00     176.32  992.1    166.62     1.01    -9999
MOSCOW     170911 300  080500-081000   00     177.88  992.1    168.00     1.84    -9999
MOSCOW     170911 300  081000-081500   00     178.25  992.0    168.27     2.01    -9999
MOSCOW     170911 300  081500-082000   00     179.52  992.0    169.43     2.71    -9999
MOSCOW     170911 300  082000-082500   00     179.20  991.9    169.02     2.46    -9999
MOSCOW     170911 300  082500-083000   00     175.28  991.8    165.27     0.19    -9999
MOSCOW     170911 300  083000-083500   00     180.08  991.7    169.68     2.86    -9999
MOSCOW     170911 300  083500-084000   00     178.07  991.6    167.65     1.63    -9999
MOSCOW     170911 300  084000-084500   00     179.10  991.7    168.68     2.26    -9999
MOSCOW     170911 300  084500-085000   00     178.02  991.8    167.78     1.71    -9999
MOSCOW     170911 300  085000-085500   00     178.68  991.8    168.48     2.13    -9999
MOSCOW     170911 300  085500-090000   00     179.98  991.9    169.78     2.92    -9999
MOSCOW     170911 300  090000-090500   00     178.17  991.8    168.00     1.84    -9999
MOSCOW     170911 300  090500-091000   00     180.30  991.6    169.75     2.90    -9999
MOSCOW     170911 300  091000-091500   00     177.78  991.7    167.45     1.51    -9999
MOSCOW     170911 300  091500-092000   00     180.25  991.7    169.77     2.92    -9999
MOSCOW     170911 300  092000-092500   00     177.98  991.7    169.72     2.89    -9999
MOSCOW     170911 300  092500-093000   00     178.00  991.8    169.80     2.93    -9999
MOSCOW     170911 300  093000-093500   00     178.88  991.7    168.52     2.16    -9999
MOSCOW     170911 300  093500-094000   00     178.35  991.6    167.93     1.80    -9999
MOSCOW     170911 300  094000-094500   00     178.95  991.6    168.45     2.12    -9999
MOSCOW     170911 300  094500-095000   00     179.57  991.7    169.15     2.54    -9999
MOSCOW     170911 300  095000-095500   00     176.53  991.7    166.30     0.81    -9999
MOSCOW     170911 300  095500-100000   00     178.12  991.7    167.82     1.73    -9999
MOSCOW     170911 300  100000-100500   00     178.68  991.7    168.28     2.01    -9999
MOSCOW     170911 300  100500-101000   00     178.00  991.7    167.65     1.63    -9999
MOSCOW     170911 300  101000-101500   00     179.22  991.6    168.75     2.30    -9999
MOSCOW     170911 300  101500-102000   00     178.37  991.7    167.97     1.82    -9999
MOSCOW     170911 300  102000-102500   00     179.43  991.6    168.90     2.39    -9999
