SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    687.7   mb     COEFFICIENT   -0.75     % / mb
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    151.03      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOPO-6NM64 170911 300  051000-051500   00     165.45  670.7    154.34     2.19     0.25
SOPO-6NM64 170911 300  051500-052000   00     163.37  670.7    152.39     0.90    -1.04
SOPO-6NM64 170911 300  052000-052500   00     165.19  670.7    154.11     2.04     0.10
SOPO-6NM64 170911 300  052500-053000   00     165.43  670.7    154.40     2.23     0.28
SOPO-6NM64 170911 300  053000-053500   00     165.41  670.8    154.44     2.25     0.30
SOPO-6NM64 170911 300  053500-054000   00     164.66  670.9    153.82     1.85    -0.10
SOPO-6NM64 170911 300  054000-054500   00     163.64  670.9    152.96     1.27    -0.69
SOPO-6NM64 170911 300  054500-055000   00     165.87  671.0    155.12     2.70     0.74
SOPO-6NM64 170911 300  055000-055500   00     164.20  671.0    153.49     1.63    -0.33
SOPO-6NM64 170911 300  055500-060000   00     165.05  670.9    154.25     2.13     0.17
SOPO-6NM64 170911 300  060000-060500   00     164.79  671.0    154.06     2.01     0.04
SOPO-6NM64 170911 300  060500-061000   00     164.76  671.0    154.07     2.01     0.04
SOPO-6NM64 170911 300  061000-061500   00     164.62  671.1    154.02     1.98     0.01
SOPO-6NM64 170911 300  061500-062000   00     164.93  671.1    154.37     2.21     0.24
SOPO-6NM64 170911 300  062000-062500   00     164.08  671.1    153.55     1.67    -0.31
SOPO-6NM64 170911 300  062500-063000   00     164.76  671.1    154.21     2.10     0.12
SOPO-6NM64 170911 300  063000-063500   00     164.92  671.1    154.34     2.19     0.21
SOPO-6NM64 170911 300  063500-064000   00     163.93  671.1    153.41     1.58    -0.40
SOPO-6NM64 170911 300  064000-064500   00     165.20  671.1    154.62     2.37     0.39
SOPO-6NM64 170911 300  064500-065000   00     163.59  671.1    153.08     1.35    -0.64
SOPO-6NM64 170911 300  065000-065500   00     164.21  671.1    153.65     1.73    -0.26
SOPO-6NM64 170911 300  065500-070000   00     165.03  671.1    154.43     2.25     0.26
SOPO-6NM64 170911 300  070000-070500   00     166.25  671.1    155.60     3.02     1.03
SOPO-6NM64 170911 300  070500-071000   00     163.95  671.1    153.48     1.62    -0.37
SOPO-6NM64 170911 300  071000-071500   00     164.84  671.2    154.33     2.18     0.19
SOPO-6NM64 170911 300  071500-072000   00     164.61  671.2    154.17     2.08     0.08
SOPO-6NM64 170911 300  072000-072500   00     165.20  671.2    154.76     2.47     0.47
SOPO-6NM64 170911 300  072500-073000   00     165.61  671.2    155.14     2.72     0.72
SOPO-6NM64 170911 300  073000-073500   00     164.00  671.3    153.66     1.74    -0.26
SOPO-6NM64 170911 300  073500-074000   00     164.30  671.3    153.99     1.96    -0.04
SOPO-6NM64 170911 300  074000-074500   00     164.30  671.3    153.97     1.95    -0.05
SOPO-6NM64 170911 300  074500-075000   00     164.37  671.2    153.93     1.92    -0.08
SOPO-6NM64 170911 300  075000-075500   00     164.87  671.1    154.30     2.16     0.16
SOPO-6NM64 170911 300  075500-080000   00     164.50  671.1    153.93     1.92    -0.08
SOPO-6NM64 170911 300  080000-080500   00     164.79  671.1    154.20     2.10     0.10
SOPO-6NM64 170911 300  080500-081000   00     164.44  671.1    153.91     1.90    -9999
SOPO-6NM64 170911 300  081000-081500   00     165.10  671.2    154.59     2.36    -9999
SOPO-6NM64 170911 300  081500-082000   00     164.27  671.3    153.90     1.90    -9999
SOPO-6NM64 170911 300  082000-082500   00     164.66  671.3    154.34     2.19    -9999
