YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    218.05      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    170911 300  034500-035000   00     219.39 1005.0    222.45     2.02    -9999
YAKUTSK    170911 300  035000-035500   00     221.65 1004.9    224.72     3.06    -9999
YAKUTSK    170911 300  035500-040000   00     221.89 1004.9    224.93     3.16    -9999
YAKUTSK    170911 300  040000-040500   00     221.07 1004.9    224.03     2.74    -9999
YAKUTSK    170911 300  040500-041000   00     219.23 1004.9    222.16     1.88    -9999
YAKUTSK    170911 300  041000-041500   00     222.05 1004.9    225.01     3.19    -9999
YAKUTSK    170911 300  041500-042000   00     220.77 1004.9    223.68     2.58    -9999
YAKUTSK    170911 300  042000-042500   00     221.20 1004.8    224.03     2.74    -9999
YAKUTSK    170911 300  042500-043000   00     219.95 1004.8    222.75     2.15    -9999
YAKUTSK    170911 300  043000-043500   00     218.05 1004.8    220.85     1.28    -9999
YAKUTSK    170911 300  043500-044000   00     220.05 1004.8    222.88     2.21    -9999
YAKUTSK    170911 300  044000-044500   00     219.95 1004.8    222.75     2.15    -9999
YAKUTSK    170911 300  044500-045000   00     221.28 1004.7    224.03     2.74    -9999
YAKUTSK    170911 300  045000-045500   00     222.29 1004.8    225.09     3.23    -9999
YAKUTSK    170911 300  045500-050000   00     220.91 1004.7    223.63     2.56    -9999
YAKUTSK    170911 300  050000-050500   00     221.44 1004.7    224.13     2.79    -9999
YAKUTSK    170911 300  050500-051000   00     220.59 1004.7    223.25     2.39    -9999
YAKUTSK    170911 300  051000-051500   00     218.91 1004.7    221.52     1.59    -9999
YAKUTSK    170911 300  051500-052000   00     221.87 1004.7    224.53     2.97    -9999
YAKUTSK    170911 300  052000-052500   00     221.25 1004.7    223.87     2.67    -9999
YAKUTSK    170911 300  052500-053000   00     221.36 1004.7    223.97     2.72    -9999
YAKUTSK    170911 300  053000-053500   00     220.35 1004.6    222.88     2.21    -9999
YAKUTSK    170911 300  053500-054000   00     221.76 1004.6    224.24     2.84    -9999
YAKUTSK    170911 300  054000-054500   00     220.08 1004.5    222.48     2.03    -9999
YAKUTSK    170911 300  054500-055000   00     219.84 1004.5    222.24     1.92    -9999
YAKUTSK    170911 300  055000-055500   00     221.25 1004.5    223.63     2.56    -9999
YAKUTSK    170911 300  055500-060000   00     222.43 1004.5    224.75     3.07    -9999
YAKUTSK    170911 300  060000-060500   00     219.65 1004.4    221.89     1.76    -9999
YAKUTSK    170911 300  060500-061000   00     221.36 1004.4    223.57     2.53    -9999
YAKUTSK    170911 300  061000-061500   00     219.92 1004.4    222.11     1.86    -9999
YAKUTSK    170911 300  061500-062000   00     220.08 1004.4    222.21     1.91    -9999
YAKUTSK    170911 300  062000-062500   00     219.97 1004.4    222.11     1.86    -9999
YAKUTSK    170911 300  062500-063000   00     222.24 1004.4    224.37     2.90    -9999
YAKUTSK    170911 300  063000-063500   00     222.05 1004.3    224.16     2.80    -9999
YAKUTSK    170911 300  063500-064000   00     221.95 1004.3    224.00     2.73    -9999
YAKUTSK    170911 300  064000-064500   00     219.71 1004.3    221.73     1.69    -9999
YAKUTSK    170911 300  064500-065000   00     222.37 1004.3    224.35     2.89    -9999
YAKUTSK    170911 300  065000-065500   00     221.71 1004.2    223.63     2.56    -9999
