IRKUTSK    LATITUDE    52.1      LONGITUDE     104       ALTITUDE    433 M
IRKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     
IRKUTSK    STANDARD PRESSURE    956.5   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    178.29      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK    170911 300  060500-061000   00     146.40  959.2    181.80     1.97    -9999
IRKUTSK    170911 300  061000-061500   00     147.00  959.2    182.60     2.42    -9999
IRKUTSK    170911 300  061500-062000   00     146.80  959.2    182.40     2.30    -9999
IRKUTSK    170911 300  062000-062500   00     145.40  959.1    180.80     1.41    -9999
IRKUTSK    170911 300  062500-063000   00     147.20  959.1    183.00     2.64    -9999
IRKUTSK    170911 300  063000-063500   00     144.80  959.0    179.80     0.85    -9999
IRKUTSK    170911 300  063500-064000   00     148.00  959.0    183.60     2.98    -9999
IRKUTSK    170911 300  064000-064500   00     144.80  959.0    179.60     0.73    -9999
IRKUTSK    170911 300  064500-065000   00     146.00  958.9    181.20     1.63    -9999
IRKUTSK    170911 300  065000-065500   00     147.60  958.9    183.40     2.87    -9999
IRKUTSK    170911 300  065500-070000   00     146.80  958.9    182.40     2.30    -9999
IRKUTSK    170911 300  070000-070500   00     145.40  958.9    180.20     1.07    -9999
IRKUTSK    170911 300  070500-071000   00     147.40  958.9    182.80     2.53    -9999
IRKUTSK    170911 300  071000-071500   00     147.00  958.9    182.20     2.19    -9999
IRKUTSK    170911 300  071500-072000   00     145.80  958.8    180.60     1.29    -9999
IRKUTSK    170911 300  072000-072500   00     147.60  958.8    183.00     2.64    -9999
IRKUTSK    170911 300  072500-073000   00     145.00  958.8    180.00     0.96    -9999
IRKUTSK    170911 300  073000-073500   00     149.00  958.7    184.40     3.43    -9999
IRKUTSK    170911 300  073500-074000   00     148.20  958.7    183.40     2.87    -9999
IRKUTSK    170911 300  074000-074500   00     146.80  958.6    181.80     1.97    -9999
IRKUTSK    170911 300  074500-075000   00     149.40  958.6    184.80     3.65    -9999
IRKUTSK    170911 300  075000-075500   00     145.80  958.6    180.80     1.41    -9999
IRKUTSK    170911 300  075500-080000   00     145.60  958.7    180.00     0.96    -9999
IRKUTSK    170911 300  080000-080500   00     148.20  958.7    183.60     2.98    -9999
IRKUTSK    170911 300  080500-081000   00     146.40  958.7    181.40     1.74    -9999
IRKUTSK    170911 300  081000-081500   00     145.40  958.6    179.60     0.73    -9999
IRKUTSK    170911 300  081500-082000   00     148.40  958.6    183.60     2.98    -9999
IRKUTSK    170911 300  082000-082500   00     146.80  958.6    181.40     1.74    -9999
IRKUTSK    170911 300  082500-083000   00     144.20  958.6    178.00    -0.16    -9999
IRKUTSK    170911 300  083000-083500   00     146.20  958.6    181.00     1.52    -9999
IRKUTSK    170911 300  083500-084000   00     144.20  958.6    178.40     0.06    -9999
IRKUTSK    170911 300  084000-084500   00     146.20  958.6    181.00     1.52    -9999
IRKUTSK    170911 300  084500-085000   00     145.20  958.7    179.60     0.73    -9999
IRKUTSK    170911 300  085000-085500   00     145.80  958.7    180.00     0.96    -9999
IRKUTSK    170911 300  085500-090000   00     147.00  958.7    182.20     2.19    -9999
IRKUTSK    170911 300  090000-090500   00     147.40  958.7    182.60     2.42    -9999
IRKUTSK    170911 300  090500-091000   00     145.60  958.7    180.60     1.29    -9999
IRKUTSK    170911 300  091000-091500   00     145.40  958.8    180.00     0.96    -9999
IRKUTSK    170911 300  091500-092000   00     146.80  958.8    181.80     1.97    -9999
IRKUTSK    170911 300  092000-092500   00     143.60  958.8    178.20    -0.05    -9999
IRKUTSK    170911 300  092500-093000   00     145.00  958.8    179.80     0.85    -9999
IRKUTSK    170911 300  093000-093500   00     146.00  958.8    181.00     1.52    -9999
IRKUTSK    170911 300  093500-094000   00     143.60  958.9    177.80    -0.28    -9999
IRKUTSK    170911 300  094000-094500   00     144.20  958.9    178.80     0.29    -9999
