Fort-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort-SMITH STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
Fort-SMITH PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
Fort-SMITH PRE-INCREASE AVERAGE COUNTING RATE    216.78      COUNTS PER SECOND
Fort-SMITH TIME INTERVALS    300         3600     
Fort-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
Fort-SMITH 170910 300  213500-214000   00     294.02  976.6    223.32     3.01     2.69
Fort-SMITH 170910 300  214000-214500   00     292.52  976.6    222.26     2.53     2.21
Fort-SMITH 170910 300  214500-215000   00     292.49  976.7    222.31     2.55     2.22
Fort-SMITH 170910 300  215000-215500   00     293.32  976.7    223.00     2.87     2.54
Fort-SMITH 170910 300  215500-220000   00     292.50  976.7    222.44     2.61     2.27
Fort-SMITH 170910 300  220000-220500   00     292.48  976.8    222.47     2.62     2.28
Fort-SMITH 170910 300  220500-221000   00     296.11  976.8    225.32     3.94     3.59
Fort-SMITH 170910 300  221000-221500   00     293.71  976.9    223.57     3.13     2.78
Fort-SMITH 170910 300  221500-222000   00     292.41  976.9    222.66     2.71     2.35
Fort-SMITH 170910 300  222000-222500   00     292.16  977.0    222.53     2.65     2.29
Fort-SMITH 170910 300  222500-223000   00     292.72  977.0    223.03     2.88     2.51
Fort-SMITH 170910 300  223000-223500   00     290.93  977.1    221.75     2.29     1.92
Fort-SMITH 170910 300  223500-224000   00     291.48  977.1    222.22     2.51     2.13
Fort-SMITH 170910 300  224000-224500   00     292.97  977.1    223.37     3.04     2.66
Fort-SMITH 170910 300  224500-225000   00     290.46  977.1    221.53     2.19     1.80
Fort-SMITH 170910 300  225000-225500   00     291.69  977.2    222.50     2.64     2.25
Fort-SMITH 170910 300  225500-230000   00     291.17  977.2    222.22     2.51     2.11
Fort-SMITH 170910 300  230000-230500   00     290.53  977.3    221.84     2.33     1.93
Fort-SMITH 170910 300  230500-231000   00     290.47  977.3    221.87     2.34     1.93
Fort-SMITH 170910 300  231000-231500   00     287.71  977.4    219.87     1.42     1.01
Fort-SMITH 170910 300  231500-232000   00     288.88  977.5    220.87     1.88     1.46
Fort-SMITH 170910 300  232000-232500   00     289.10  977.6    221.19     2.03     1.61
Fort-SMITH 170910 300  232500-233000   00     289.88  977.6    221.90     2.36     1.93
Fort-SMITH 170910 300  233000-233500   00     289.66  977.7    221.78     2.31     1.88
Fort-SMITH 170910 300  233500-234000   00     291.17  977.7    222.99     2.86     2.42
Fort-SMITH 170910 300  234000-234500   00     292.10  977.7    223.80     3.24     2.80
Fort-SMITH 170910 300  234500-235000   00     289.07  977.8    221.57     2.21     1.76
Fort-SMITH 170910 300  235000-235500   00     288.49  977.8    221.15     2.01     1.56
Fort-SMITH 170910 300  235500-240000   00     289.77  977.8    222.19     2.49     2.03
Fort-SMITH 170911 300  000000-000500   00     290.01  977.9    222.49     2.63     2.17
Fort-SMITH 170911 300  000500-001000   00     289.59  978.0    222.27     2.53     2.06
Fort-SMITH 170911 300  001000-001500   00     288.69  978.0    221.70     2.27     1.80
Fort-SMITH 170911 300  001500-002000   00     289.62  978.1    222.57     2.67     2.19
Fort-SMITH 170911 300  002000-002500   00     292.90  978.2    225.13     3.85     3.37
Fort-SMITH 170911 300  002500-003000   00     287.71  978.2    221.26     2.07     1.58
Fort-SMITH 170911 300  003000-003500   00     287.70  978.3    221.35     2.11     1.62
Fort-SMITH 170911 300  003500-004000   00     289.04  978.4    222.48     2.63     2.13
Fort-SMITH 170911 300  004000-004500   00     290.44  978.4    223.68     3.18     2.68
Fort-SMITH 170911 300  004500-005000   00     288.26  978.5    222.04     2.42     1.91
Fort-SMITH 170911 300  005000-005500   00     287.80  978.5    221.77     2.30     1.79
Fort-SMITH 170911 300  005500-010000   00     288.65  978.6    222.56     2.66     2.14
Fort-SMITH 170911 300  010000-010500   00     286.11  978.6    220.69     1.80     1.28
Fort-SMITH 170911 300  010500-011000   00     284.62  978.7    219.58     1.29     0.76
Fort-SMITH 170911 300  011000-011500   00     289.03  978.7    223.03     2.88     2.35
Fort-SMITH 170911 300  011500-012000   00     285.96  978.7    220.75     1.83     1.29
Fort-SMITH 170911 300  012000-012500   00     286.13  978.8    221.04     1.96     1.42
Fort-SMITH 170911 300  012500-013000   00     286.27  978.9    221.23     2.05     1.50
Fort-SMITH 170911 300  013000-013500   00     289.67  978.9    223.91     3.29     2.74
Fort-SMITH 170911 300  013500-014000   00     287.51  979.0    222.32     2.55     1.99
Fort-SMITH 170911 300  014000-014500   00     287.86  979.0    222.63     2.70     2.14
Fort-SMITH 170911 300  014500-015000   00     285.25  979.0    220.66     1.79     1.22
Fort-SMITH 170911 300  015000-015500   00     286.42  979.1    221.69     2.26     1.69
Fort-SMITH 170911 300  015500-020000   00     282.53  979.2    218.79     0.93     0.35
Fort-SMITH 170911 300  020000-020500   00     284.37  979.2    220.34     1.64     1.06
Fort-SMITH 170911 300  020500-021000   00     284.29  979.3    220.33     1.64     1.05
Fort-SMITH 170911 300  021000-021500   00     284.13  979.3    220.28     1.61     1.02
Fort-SMITH 170911 300  021500-022000   00     285.51  979.4    221.49     2.17     1.57
Fort-SMITH 170911 300  022000-022500   00     283.88  979.5    220.36     1.65     1.05
Fort-SMITH 170911 300  022500-023000   00     283.52  979.6    220.23     1.59     0.98
Fort-SMITH 170911 300  023000-023500   00     281.56  979.7    218.86     0.96     0.35
Fort-SMITH 170911 300  023500-024000   00     283.17  979.7    220.21     1.58     0.96
Fort-SMITH 170911 300  024000-024500   00     283.35  979.8    220.40     1.67     1.05
Fort-SMITH 170911 300  024500-025000   00     282.74  979.8    219.96     1.47     0.84
Fort-SMITH 170911 300  025000-025500   00     281.39  979.8    219.00     1.02     0.39
Fort-SMITH 170911 300  025500-030000   00     282.45  979.9    219.88     1.43     0.79
Fort-SMITH 170911 300  030000-030500   00     281.45  979.9    219.17     1.10     0.46
Fort-SMITH 170911 300  030500-031000   00     280.42  980.0    218.47     0.78     0.13
Fort-SMITH 170911 300  031000-031500   00     281.68  980.0    219.50     1.25     0.60
Fort-SMITH 170911 300  031500-032000   00     282.16  980.1    219.99     1.48     0.82
Fort-SMITH 170911 300  032000-032500   00     281.06  980.1    219.27     1.15     0.49
Fort-SMITH 170911 300  032500-033000   00     278.33  980.2    217.22     0.20    -0.47
Fort-SMITH 170911 300  033000-033500   00     280.44  980.2    218.90     0.98     0.31
Fort-SMITH 170911 300  033500-034000   00     281.10  980.3    219.48     1.25     0.57
Fort-SMITH 170911 300  034000-034500   00     280.16  980.3    218.85     0.95     0.27
Fort-SMITH 170911 300  034500-035000   00     280.13  980.4    219.01     1.02     0.33
Fort-SMITH 170911 300  035000-035500   00     279.25  980.5    218.47     0.78     0.09
Fort-SMITH 170911 300  035500-040000   00     276.77  980.6    216.60    -0.08    -0.78
Fort-SMITH 170911 300  040000-040500   00     278.43  980.6    217.93     0.53    -0.17
Fort-SMITH 170911 300  040500-041000   00     279.58  980.6    218.79     0.93    -9999
Fort-SMITH 170911 300  041000-041500   00     279.51  980.6    218.74     0.90    -9999
Fort-SMITH 170911 300  041500-042000   00     278.24  980.5    217.69     0.42    -9999
Fort-SMITH 170911 300  042000-042500   00     280.67  980.5    219.56     1.28    -9999
Fort-SMITH 170911 300  042500-043000   00     280.10  980.5    219.04     1.04    -9999
Fort-SMITH 170911 300  043000-043500   00     278.94  980.5    218.15     0.63    -9999
Fort-SMITH 170911 300  043500-044000   00     279.79  980.5    218.79     0.93    -9999
Fort-SMITH 170911 300  044000-044500   00     279.52  980.5    218.59     0.83    -9999
Fort-SMITH 170911 300  044500-045000   00     277.83  980.5    217.32     0.25    -9999
Fort-SMITH 170911 300  045000-045500   00     280.51  980.6    219.51     1.26    -9999
Fort-SMITH 170911 300  045500-050000   00     279.31  980.6    218.56     0.82    -9999
Fort-SMITH 170911 300  050000-050500   00     280.59  980.6    219.62     1.31    -9999
Fort-SMITH 170911 300  050500-051000   00     278.99  980.7    218.48     0.78    -9999
Fort-SMITH 170911 300  051000-051500   00     278.77  980.7    218.44     0.76    -9999
Fort-SMITH 170911 300  051500-052000   00     276.35  980.8    216.64    -0.07    -9999
Fort-SMITH 170911 300  052000-052500   00     280.64  980.9    220.10     1.53    -9999
Fort-SMITH 170911 300  052500-053000   00     277.45  980.9    217.72     0.43    -9999
Fort-SMITH 170911 300  053000-053500   00     276.00  981.0    216.66    -0.06    -9999
Fort-SMITH 170911 300  053500-054000   00     279.92  981.1    219.87     1.42    -9999
Fort-SMITH 170911 300  054000-054500   00     277.87  981.1    218.25     0.68    -9999
Fort-SMITH 170911 300  054500-055000   00     278.20  981.1    218.57     0.82    -9999
Fort-SMITH 170911 300  055000-055500   00     274.83  981.2    216.07    -0.33    -9999
Fort-SMITH 170911 300  055500-060000   00     277.40  981.3    218.21     0.66    -9999
Fort-SMITH 170911 300  060000-060500   00     279.40  981.3    219.94     1.45    -9999
Fort-SMITH 170911 300  060500-061000   00     278.05  981.4    218.95     1.00    -9999
Fort-SMITH 170911 300  061000-061500   00     279.01  981.4    219.64     1.32    -9999
Fort-SMITH 170911 300  061500-062000   00     276.18  981.3    217.38     0.27    -9999
Fort-SMITH 170911 300  062000-062500   00     275.38  981.4    216.86     0.03    -9999
Fort-SMITH 170911 300  062500-063000   00     276.24  981.5    217.63     0.39    -9999
Fort-SMITH 170911 300  063000-063500   00     279.94  981.5    220.55     1.74    -9999
Fort-SMITH 170911 300  063500-064000   00     277.36  981.4    218.48     0.78    -9999
Fort-SMITH 170911 300  064000-064500   00     278.80  981.5    219.70     1.34    -9999
Fort-SMITH 170911 300  064500-065000   00     275.79  981.5    217.41     0.29    -9999
Fort-SMITH 170911 300  065000-065500   00     279.31  981.6    220.22     1.58    -9999
Fort-SMITH 170911 300  065500-070000   00     278.63  981.6    219.67     1.33    -9999
Fort-SMITH 170911 300  070000-070500   00     276.12  981.6    217.83     0.48    -9999
Fort-SMITH 170911 300  070500-071000   00     278.21  981.8    219.68     1.33    -9999
Fort-SMITH 170911 300  071000-071500   00     276.23  981.8    218.25     0.68    -9999
Fort-SMITH 170911 300  071500-072000   00     275.90  981.9    218.03     0.57    -9999
Fort-SMITH 170911 300  072000-072500   00     277.47  981.9    219.31     1.17    -9999
Fort-SMITH 170911 300  072500-073000   00     278.33  981.9    220.07     1.51    -9999
Fort-SMITH 170911 300  073000-073500   00     276.84  981.9    218.87     0.96    -9999
Fort-SMITH 170911 300  073500-074000   00     275.28  982.0    217.74     0.44    -9999
Fort-SMITH 170911 300  074000-074500   00     278.59  982.0    220.42     1.68    -9999
Fort-SMITH 170911 300  074500-075000   00     276.21  982.0    218.58     0.83    -9999
Fort-SMITH 170911 300  075000-075500   00     276.29  982.1    218.68     0.88    -9999
Fort-SMITH 170911 300  075500-080000   00     277.70  982.1    219.83     1.40    -9999
Fort-SMITH 170911 300  080000-080500   00     276.93  982.1    219.14     1.09    -9999
Fort-SMITH 170911 300  080500-081000   00     273.14  982.0    216.10    -0.32    -9999
Fort-SMITH 170911 300  081000-081500   00     275.04  982.0    217.50     0.33    -9999
Fort-SMITH 170911 300  081500-082000   00     275.59  982.0    217.97     0.55    -9999
Fort-SMITH 170911 300  082000-082500   00     274.64  982.0    217.22     0.20    -9999
Fort-SMITH 170911 300  082500-083000   00     274.21  982.0    216.82     0.02    -9999
Fort-SMITH 170911 300  083000-083500   00     277.29  981.9    219.25     1.14    -9999
Fort-SMITH 170911 300  083500-084000   00     275.05  982.0    217.58     0.37    -9999
Fort-SMITH 170911 300  084000-084500   00     276.71  982.0    218.86     0.96    -9999
Fort-SMITH 170911 300  084500-085000   00     275.57  981.9    217.88     0.51    -9999
Fort-SMITH 170911 300  085000-085500   00     273.50  982.0    216.28    -0.23    -9999
Fort-SMITH 170911 300  085500-090000   00     272.78  982.0    215.82    -0.44    -9999
Fort-SMITH 170911 300  090000-090500   00     275.39  982.1    218.08     0.60    -9999
Fort-SMITH 170911 300  090500-091000   00     275.86  982.3    218.74     0.90    -9999
