JANG-BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG-BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG-BOGO  STANDARD PRESSURE    978.4   MB     COEFFICIENT   -0.74     % / MB
JANG-BOGO  PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
JANG-BOGO  PRE-INCREASE AVERAGE COUNTING RATE    271.00      COUNTS PER SECOND
JANG-BOGO  TIME INTERVALS    300         3600     
JANG-BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG-BOGO  170911 300  010000-010500   00     280.11  976.9    276.55     2.05     1.27
JANG-BOGO  170911 300  010500-011000   00     281.72  976.8    277.90     2.55     1.77
JANG-BOGO  170911 300  011000-011500   00     280.74  976.7    276.86     2.16     1.37
JANG-BOGO  170911 300  011500-012000   00     284.52  976.7    280.59     3.54     2.75
JANG-BOGO  170911 300  012000-012500   00     280.64  976.7    276.74     2.12     1.32
JANG-BOGO  170911 300  012500-013000   00     278.96  976.7    275.05     1.50     0.69
JANG-BOGO  170911 300  013000-013500   00     278.39  976.6    274.29     1.22     0.41
JANG-BOGO  170911 300  013500-014000   00     283.75  976.5    279.44     3.11     2.29
JANG-BOGO  170911 300  014000-014500   00     280.73  976.5    276.36     1.98     1.16
JANG-BOGO  170911 300  014500-015000   00     281.99  976.5    277.60     2.44     1.61
JANG-BOGO  170911 300  015000-015500   00     284.21  976.6    279.95     3.30     2.47
JANG-BOGO  170911 300  015500-020000   00     279.03  976.5    274.67     1.36     0.52
JANG-BOGO  170911 300  020000-020500   00     277.26  976.6    273.12     0.78    -0.07
JANG-BOGO  170911 300  020500-021000   00     277.35  976.6    273.23     0.82    -0.03
JANG-BOGO  170911 300  021000-021500   00     277.85  976.7    273.94     1.08     0.22
JANG-BOGO  170911 300  021500-022000   00     279.56  976.6    275.48     1.65     0.79
JANG-BOGO  170911 300  022000-022500   00     277.84  976.6    273.78     1.03     0.16
JANG-BOGO  170911 300  022500-023000   00     279.66  976.7    275.76     1.76     0.88
JANG-BOGO  170911 300  023000-023500   00     279.99  976.6    275.89     1.81     0.93
JANG-BOGO  170911 300  023500-024000   00     281.36  976.6    277.33     2.34     1.45
JANG-BOGO  170911 300  024000-024500   00     281.40  976.6    277.37     2.35     1.46
JANG-BOGO  170911 300  024500-025000   00     282.93  976.6    278.71     2.85     1.95
JANG-BOGO  170911 300  025000-025500   00     281.60  976.6    277.48     2.39     1.49
JANG-BOGO  170911 300  025500-030000   00     282.13  976.6    277.94     2.56     1.65
JANG-BOGO  170911 300  030000-030500   00     280.78  976.6    276.72     2.11     1.19
JANG-BOGO  170911 300  030500-031000   00     276.38  976.5    272.08     0.40    -0.52
JANG-BOGO  170911 300  031000-031500   00     277.11  976.5    272.85     0.68    -0.25
JANG-BOGO  170911 300  031500-032000   00     279.99  976.5    275.66     1.72     0.79
JANG-BOGO  170911 300  032000-032500   00     275.13  976.4    270.74    -0.09    -1.03
JANG-BOGO  170911 300  032500-033000   00     279.57  976.4    275.08     1.51     0.57
JANG-BOGO  170911 300  033000-033500   00     276.72  976.4    272.18     0.44    -0.51
JANG-BOGO  170911 300  033500-034000   00     276.37  976.2    271.50     0.18    -0.78
JANG-BOGO  170911 300  034000-034500   00     278.37  976.1    273.20     0.81    -0.15
JANG-BOGO  170911 300  034500-035000   00     283.07  975.9    277.56     2.42     1.45
JANG-BOGO  170911 300  035000-035500   00     280.11  976.0    274.75     1.39     0.42
