SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    309.56      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH-POLE 170911 300  015500-020000   00     336.29  670.3    313.14     1.16    -0.32
SOUTH-POLE 170911 300  020000-020500   00     338.91  670.3    315.49     1.92     0.44
SOUTH-POLE 170911 300  020500-021000   00     341.45  670.3    317.88     2.69     1.20
SOUTH-POLE 170911 300  021000-021500   00     338.24  670.3    314.99     1.75     0.26
SOUTH-POLE 170911 300  021500-022000   00     337.28  670.4    314.16     1.48    -0.01
SOUTH-POLE 170911 300  022000-022500   00     339.78  670.4    316.58     2.27     0.77
SOUTH-POLE 170911 300  022500-023000   00     339.51  670.4    316.37     2.20     0.70
SOUTH-POLE 170911 300  023000-023500   00     338.00  670.4    314.95     1.74     0.24
SOUTH-POLE 170911 300  023500-024000   00     337.19  670.5    314.34     1.54     0.03
SOUTH-POLE 170911 300  024000-024500   00     339.16  670.5    316.30     2.17     0.66
SOUTH-POLE 170911 300  024500-025000   00     338.65  670.6    315.97     2.07     0.56
SOUTH-POLE 170911 300  025000-025500   00     337.00  670.6    314.59     1.62     0.11
SOUTH-POLE 170911 300  025500-030000   00     336.14  670.7    313.84     1.38    -0.14
SOUTH-POLE 170911 300  030000-030500   00     334.35  670.6    312.09     0.82    -0.70
SOUTH-POLE 170911 300  030500-031000   00     336.56  670.7    314.24     1.51    -0.01
SOUTH-POLE 170911 300  031000-031500   00     337.02  670.7    314.64     1.64     0.12
SOUTH-POLE 170911 300  031500-032000   00     336.98  670.7    314.76     1.68     0.15
SOUTH-POLE 170911 300  032000-032500   00     334.53  670.9    312.78     1.04    -0.49
SOUTH-POLE 170911 300  032500-033000   00     336.79  671.0    315.15     1.80     0.27
SOUTH-POLE 170911 300  033000-033500   00     335.95  671.0    314.34     1.54     0.01
SOUTH-POLE 170911 300  033500-034000   00     335.63  671.0    314.19     1.49    -0.04
SOUTH-POLE 170911 300  034000-034500   00     336.09  671.1    314.70     1.66     0.13
SOUTH-POLE 170911 300  034500-035000   00     334.83  671.0    313.40     1.24    -0.30
SOUTH-POLE 170911 300  035000-035500   00     335.53  670.9    313.88     1.39    -0.15
SOUTH-POLE 170911 300  035500-040000   00     338.77  670.9    316.75     2.32     0.78
SOUTH-POLE 170911 300  040000-040500   00     334.95  670.8    313.11     1.15    -0.39
SOUTH-POLE 170911 300  040500-041000   00     336.10  670.8    314.15     1.48    -0.06
SOUTH-POLE 170911 300  041000-041500   00     335.45  670.9    313.70     1.34    -0.20
SOUTH-POLE 170911 300  041500-042000   00     336.57  670.9    314.76     1.68     0.14
SOUTH-POLE 170911 300  042000-042500   00     334.90  670.9    313.20     1.17    -0.37
SOUTH-POLE 170911 300  042500-043000   00     337.45  670.9    315.49     1.91     0.37
SOUTH-POLE 170911 300  043000-043500   00     338.39  670.8    316.23     2.15     0.61
