ATHENS     LATITUDE    37.97     LONGITUDE     23.72     ALTITUDE    40 M
ATHENS     INSTRUMENT   3NM64    NEUTRON MONITOR     
ATHENS     STANDARD PRESSURE    980     mb     COEFFICIENT   -0.7      % / mb
ATHENS     PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
ATHENS     PRE-INCREASE AVERAGE COUNTING RATE     55.78      COUNTS PER SECOND
ATHENS     TIME INTERVALS    300         3600     
ATHENS     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ATHENS     170911 300  033500-034000   00      57.16  979.3     56.86     1.94    -9999
ATHENS     170911 300  034000-034500   00      55.74  979.3     55.46    -0.58    -9999
ATHENS     170911 300  034500-035000   00      56.51  979.4     56.27     0.87    -9999
ATHENS     170911 300  035000-035500   00      56.92  979.2     56.62     1.50    -9999
ATHENS     170911 300  035500-040000   00      56.62  979.3     56.18     0.72    -9999
ATHENS     170911 300  040000-040500   00      55.54  979.3     55.25    -0.95    -9999
ATHENS     170911 300  040500-041000   00      55.40  979.3     55.24    -0.96    -9999
ATHENS     170911 300  041000-041500   00      56.23  979.2     55.41    -0.66    -9999
ATHENS     170911 300  041500-042000   00      56.15  979.1     55.81     0.06    -9999
ATHENS     170911 300  042000-042500   00      56.17  979.2     55.66    -0.21    -9999
ATHENS     170911 300  042500-043000   00      55.93  979.2     55.56    -0.40    -9999
ATHENS     170911 300  043000-043500   00      55.91  979.3     55.64    -0.25    -9999
ATHENS     170911 300  043500-044000   00      56.40  979.4     56.12     0.61    -9999
ATHENS     170911 300  044000-044500   00      56.63  979.4     56.39     1.10    -9999
ATHENS     170911 300  044500-045000   00      55.48  979.5     55.28    -0.89    -9999
ATHENS     170911 300  045000-045500   00      55.42  979.4     55.21    -1.03    -9999
ATHENS     170911 300  045500-050000   00      55.54  979.5     55.11    -1.20    -9999
ATHENS     170911 300  050000-050500   00      56.32  979.5     56.12     0.60    -9999
ATHENS     170911 300  050500-051000   00      56.37  979.5     56.17     0.70    -9999
ATHENS     170911 300  051000-051500   00      55.13  979.5     54.94    -1.51    -9999
ATHENS     170911 300  051500-052000   00      56.09  979.5     55.88     0.18    -9999
ATHENS     170911 300  052000-052500   00      55.80  979.5     55.51    -0.49    -9999
ATHENS     170911 300  052500-053000   00      56.66  979.6     56.43     1.17    -9999
ATHENS     170911 300  053000-053500   00      53.71  979.6     53.20    -4.63    -9999
ATHENS     170911 300  053500-054000   00      55.62  979.6     55.06    -1.28    -9999
ATHENS     170911 300  054000-054500   00      56.75  979.5     56.56     1.40    -9999
ATHENS     170911 300  054500-055000   00      56.93  979.6     56.76     1.75    -9999
ATHENS     170911 300  055000-055500   00      56.51  979.5     56.22     0.79    -9999
ATHENS     170911 300  055500-060000   00      55.83  979.4     55.58    -0.35    -9999
ATHENS     170911 300  060000-060500   00      55.87  979.4     55.64    -0.26    -9999
ATHENS     170911 300  060500-061000   00      55.51  979.4     55.29    -0.89    -9999
ATHENS     170911 300  061000-061500   00      56.26  979.4     56.02     0.43    -9999
ATHENS     170911 300  061500-062000   00      56.92  979.5     56.74     1.71    -9999
ATHENS     170911 300  062000-062500   00      57.43  979.6     57.25     2.64    -9999
ATHENS     170911 300  062500-063000   00      57.21  979.5     57.17     2.49    -9999
ATHENS     170911 300  063000-063500   00      56.48  979.4     56.26     0.86    -9999
ATHENS     170911 300  063500-064000   00      56.61  979.4     56.38     1.07    -9999
ATHENS     170911 300  064000-064500   00      56.33  979.4     56.10     0.57    -9999
ATHENS     170911 300  064500-065000   00      57.04  979.3     56.76     1.75    -9999
ATHENS     170911 300  065000-065500   00      56.85  979.3     56.57     1.41    -9999
ATHENS     170911 300  065500-070000   00      56.48  979.4     56.22     0.79    -9999
ATHENS     170911 300  070000-070500   00      56.38  979.4     56.13     0.63    -9999
ATHENS     170911 300  070500-071000   00      56.08  979.4     55.83     0.09    -9999
ATHENS     170911 300  071000-071500   00      56.40  979.4     56.16     0.69    -9999
ATHENS     170911 300  071500-072000   00      56.09  979.4     55.86     0.14    -9999
ATHENS     170911 300  072000-072500   00      56.24  979.4     56.00     0.39    -9999
ATHENS     170911 300  072500-073000   00      56.64  979.3     56.36     1.04    -9999
ATHENS     170911 300  073000-073500   00      56.36  979.4     56.11     0.59    -9999
ATHENS     170911 300  073500-074000   00      56.19  979.4     55.72    -0.10    -9999
ATHENS     170911 300  074000-074500   00      56.21  979.3     55.94     0.29    -9999
ATHENS     170911 300  074500-075000   00      56.52  979.3     56.24     0.82    -9999
ATHENS     170911 300  075000-075500   00      55.36  979.2     55.05    -1.31    -9999
ATHENS     170911 300  075500-080000   00      56.36  979.3     56.00     0.39    -9999
ATHENS     170911 300  080000-080500   00      55.50  979.3     55.23    -0.99    -9999
ATHENS     170911 300  080500-081000   00      54.96  979.3     54.70    -1.93    -9999
ATHENS     170911 300  081000-081500   00      56.86  979.4     56.61     1.49    -9999
ATHENS     170911 300  081500-082000   00      56.38  979.3     56.12     0.61    -9999
ATHENS     170911 300  082000-082500   00      57.42  979.3     57.05     2.27    -9999
ATHENS     170911 300  082500-083000   00      56.30  979.3     56.01     0.42    -9999
ATHENS     170911 300  083000-083500   00      56.36  979.4     56.11     0.58    -9999
ATHENS     170911 300  083500-084000   00      55.85  979.3     55.57    -0.39    -9999
ATHENS     170911 300  084000-084500   00      55.96  979.3     55.70    -0.14    -9999
ATHENS     170911 300  084500-085000   00      56.60  979.2     56.27     0.88    -9999
ATHENS     170911 300  085000-085500   00      56.37  979.2     56.05     0.48    -9999
ATHENS     170911 300  085500-090000   00      56.87  979.1     56.53     1.34    -9999
ATHENS     170911 300  090000-090500   00      56.69  979.0     56.31     0.94    -9999
ATHENS     170911 300  090500-091000   00      57.05  979.0     56.67     1.60    -9999
ATHENS     170911 300  091000-091500   00      56.01  979.0     55.63    -0.27    -9999
ATHENS     170911 300  091500-092000   00      57.35  979.0     56.95     2.10    -9999
ATHENS     170911 300  092000-092500   00      56.13  979.0     55.74    -0.08    -9999
ATHENS     170911 300  092500-093000   00      56.15  979.0     55.60    -0.32    -9999
ATHENS     170911 300  093000-093500   00      55.78  978.9     55.37    -0.73    -9999
ATHENS     170911 300  093500-094000   00      56.86  978.9     56.31     0.95    -9999
ATHENS     170911 300  094000-094500   00      56.78  978.8     56.30     0.92    -9999
ATHENS     170911 300  094500-095000   00      56.20  978.7     55.59    -0.34    -9999
ATHENS     170911 300  095000-095500   00      56.77  978.6     56.27     0.88    -9999
ATHENS     170911 300  095500-100000   00      56.65  978.6     56.10     0.57    -9999
ATHENS     170911 300  100000-100500   00      56.99  978.5     56.40     1.10    -9999
ATHENS     170911 300  100500-101000   00      56.04  978.5     54.92    -1.55    -9999
ATHENS     170911 300  101000-101500   00      56.62  978.6     56.06     0.50    -9999
ATHENS     170911 300  101500-102000   00      56.49  978.4     55.85     0.12    -9999
ATHENS     170911 300  102000-102500   00      56.92  978.3     56.25     0.84    -9999
ATHENS     170911 300  102500-103000   00      56.19  978.3     55.52    -0.48    -9999
ATHENS     170911 300  103000-103500   00      57.48  978.2     57.06     2.29    -9999
ATHENS     170911 300  103500-104000   00      55.73  978.3     55.05    -1.31    -9999
ATHENS     170911 300  104000-104500   00      56.13  978.2     55.32    -0.83    -9999
ATHENS     170911 300  104500-105000   00      56.69  978.2     55.98     0.35    -9999
ATHENS     170911 300  105000-105500   00      56.64  978.0     55.66    -0.21    -9999
