LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    747     mb     COEFFICIENT   -0.72     % / mb
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    467.90      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LOMNICKY   170911 300  034000-034500   00     464.85  736.4    475.23     1.57    -9999
LOMNICKY   170911 300  034500-035000   00     464.10  736.3    474.34     1.38    -9999
LOMNICKY   170911 300  035000-035500   00     464.19  736.3    474.39     1.39    -9999
LOMNICKY   170911 300  035500-040000   00     467.78  736.3    478.14     2.19    -9999
LOMNICKY   170911 300  040000-040500   00     464.40  736.4    474.87     1.49    -9999
LOMNICKY   170911 300  040500-041000   00     462.37  736.4    472.73     1.03    -9999
LOMNICKY   170911 300  041000-041500   00     462.63  736.4    472.97     1.09    -9999
LOMNICKY   170911 300  041500-042000   00     460.53  736.3    470.72     0.60    -9999
LOMNICKY   170911 300  042000-042500   00     463.52  736.4    473.84     1.27    -9999
LOMNICKY   170911 300  042500-043000   00     467.41  736.3    477.61     2.08    -9999
LOMNICKY   170911 300  043000-043500   00     461.59  736.3    471.70     0.81    -9999
LOMNICKY   170911 300  043500-044000   00     463.46  736.3    473.71     1.24    -9999
LOMNICKY   170911 300  044000-044500   00     464.41  736.3    474.57     1.43    -9999
LOMNICKY   170911 300  044500-045000   00     461.75  736.3    471.87     0.85    -9999
LOMNICKY   170911 300  045000-045500   00     462.27  736.2    472.21     0.92    -9999
LOMNICKY   170911 300  045500-050000   00     464.15  736.3    474.20     1.35    -9999
LOMNICKY   170911 300  050000-050500   00     467.07  736.2    477.10     1.97    -9999
LOMNICKY   170911 300  050500-051000   00     462.92  736.2    472.79     1.05    -9999
LOMNICKY   170911 300  051000-051500   00     469.66  736.1    479.40     2.46    -9999
LOMNICKY   170911 300  051500-052000   00     463.02  736.1    472.38     0.96    -9999
LOMNICKY   170911 300  052000-052500   00     465.32  736.0    474.37     1.38    -9999
LOMNICKY   170911 300  052500-053000   00     464.50  735.9    473.42     1.18    -9999
LOMNICKY   170911 300  053000-053500   00     463.57  736.0    472.66     1.02    -9999
LOMNICKY   170911 300  053500-054000   00     467.26  735.9    476.02     1.74    -9999
LOMNICKY   170911 300  054000-054500   00     466.50  735.9    475.34     1.59    -9999
LOMNICKY   170911 300  054500-055000   00     467.00  735.8    475.56     1.64    -9999
LOMNICKY   170911 300  055000-055500   00     466.09  736.0    475.14     1.55    -9999
LOMNICKY   170911 300  055500-060000   00     463.65  735.9    472.45     0.97    -9999
LOMNICKY   170911 300  060000-060500   00     467.34  735.9    476.17     1.77    -9999
