THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    996.4   mb     COEFFICIENT   -0.56     % / mb
THULE      PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    126.85      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
THULE      170911 300  093500-094000   00     145.46  991.4    131.23     3.46    -9999
THULE      170911 300  094000-094500   00     142.32  991.5    128.54     1.33    -9999
THULE      170911 300  094500-095000   00     142.86  991.6    129.08     1.76    -9999
THULE      170911 300  095000-095500   00     142.75  991.7    129.05     1.74    -9999
THULE      170911 300  095500-100000   00     139.42  991.8    126.12    -0.57    -9999
THULE      170911 300  100000-100500   00     141.51  991.9    128.15     1.02    -9999
THULE      170911 300  100500-101000   00     140.39  991.9    127.19     0.27    -9999
THULE      170911 300  101000-101500   00     142.61  992.0    129.23     1.87    -9999
THULE      170911 300  101500-102000   00     140.53  992.0    127.40     0.44    -9999
THULE      170911 300  102000-102500   00     140.24  992.1    127.22     0.29    -9999
THULE      170911 300  102500-103000   00     142.34  992.2    129.22     1.87    -9999
THULE      170911 300  103000-103500   00     140.34  992.4    127.54     0.55    -9999
THULE      170911 300  103500-104000   00     142.30  992.5    129.40     2.01    -9999
THULE      170911 300  104000-104500   00     142.37  992.5    129.54     2.12    -9999
THULE      170911 300  104500-105000   00     141.97  992.6    129.25     1.89    -9999
THULE      170911 300  105000-105500   00     142.19  992.7    129.55     2.13    -9999
THULE      170911 300  105500-110000   00     139.45  992.8    127.14     0.23    -9999
THULE      170911 300  110000-110500   00     139.84  992.9    127.58     0.58    -9999
THULE      170911 300  110500-111000   00     140.93  993.0    128.64     1.41    -9999
THULE      170911 300  111000-111500   00     142.04  993.0    129.73     2.27    -9999
THULE      170911 300  111500-112000   00     138.28  993.1    126.37    -0.37    -9999
THULE      170911 300  112000-112500   00     139.85  993.2    127.90     0.83    -9999
THULE      170911 300  112500-113000   00     139.53  993.3    127.73     0.70    -9999
THULE      170911 300  113000-113500   00     139.87  993.5    128.14     1.02    -9999
