IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    707     mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    417.89      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   170911 300  012500-013000   00     402.20  723.3    427.00     2.18    -9999
IRKUTSK3   170911 300  013000-013500   00     400.80  723.4    425.40     1.80    -9999
IRKUTSK3   170911 300  013500-014000   00     403.00  723.4    427.80     2.37    -9999
IRKUTSK3   170911 300  014000-014500   00     397.00  723.4    421.60     0.89    -9999
IRKUTSK3   170911 300  014500-015000   00     404.20  723.5    429.40     2.75    -9999
IRKUTSK3   170911 300  015000-015500   00     400.00  723.4    425.20     1.75    -9999
IRKUTSK3   170911 300  015500-020000   00     403.00  723.5    428.40     2.51    -9999
IRKUTSK3   170911 300  020000-020500   00     398.00  723.5    423.20     1.27    -9999
IRKUTSK3   170911 300  020500-021000   00     398.60  723.5    423.60     1.37    -9999
IRKUTSK3   170911 300  021000-021500   00     400.80  723.6    426.20     1.99    -9999
IRKUTSK3   170911 300  021500-022000   00     400.00  723.6    425.60     1.84    -9999
IRKUTSK3   170911 300  022000-022500   00     400.80  723.6    426.60     2.08    -9999
IRKUTSK3   170911 300  022500-023000   00     397.60  723.6    422.80     1.17    -9999
IRKUTSK3   170911 300  023000-023500   00     400.60  723.6    426.40     2.04    -9999
IRKUTSK3   170911 300  023500-024000   00     398.60  723.7    424.40     1.56    -9999
IRKUTSK3   170911 300  024000-024500   00     396.80  723.7    422.40     1.08    -9999
IRKUTSK3   170911 300  024500-025000   00     399.20  723.7    425.00     1.70    -9999
IRKUTSK3   170911 300  025000-025500   00     400.40  723.8    426.40     2.04    -9999
IRKUTSK3   170911 300  025500-030000   00     396.60  723.9    422.60     1.13    -9999
IRKUTSK3   170911 300  030000-030500   00     400.60  723.9    427.20     2.23    -9999
IRKUTSK3   170911 300  030500-031000   00     399.40  723.9    426.00     1.94    -9999
IRKUTSK3   170911 300  031000-031500   00     397.20  724.0    423.60     1.37    -9999
IRKUTSK3   170911 300  031500-032000   00     398.40  724.0    425.20     1.75    -9999
