DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      4.87      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       170911 300  025000-025500   00       4.24  627.2      5.00     2.68    -0.44
DOMB       170911 300  025500-030000   00       4.24  627.1      5.20     6.79     3.66
DOMB       170911 300  030000-030500   00       4.24  627.0      4.93     1.30    -1.84
DOMB       170911 300  030500-031000   00       4.24  627.0      5.10     4.73     1.58
DOMB       170911 300  031000-031500   00       4.24  626.9      5.03     3.36     0.20
DOMB       170911 300  031500-032000   00       4.24  626.9      5.17     6.11     2.94
DOMB       170911 300  032000-032500   00       4.24  626.8      5.02     3.03    -0.14
DOMB       170911 300  032500-033000   00       4.24  626.8      5.30     8.84     5.66
DOMB       170911 300  033000-033500   00       4.24  626.8      5.12     5.08     1.89
DOMB       170911 300  033500-034000   00       4.24  626.7      5.15     5.76     2.56
DOMB       170911 300  034000-034500   00       4.24  626.7      5.07     4.06     0.86
DOMB       170911 300  034500-035000   00       4.24  626.7      5.03     3.36     0.15
DOMB       170911 300  035000-035500   00       4.24  626.7      5.17     6.11     2.89
DOMB       170911 300  035500-040000   00       4.24  626.7      4.85    -0.40    -3.62
DOMB       170911 300  040000-040500   00       4.24  626.7      5.42    11.24     8.01
DOMB       170911 300  040500-041000   00       4.24  626.8      4.92     0.98    -2.26
DOMB       170911 300  041000-041500   00       4.24  626.7      5.05     3.71     0.47
DOMB       170911 300  041500-042000   00       4.24  626.7      5.17     6.11     2.86
DOMB       170911 300  042000-042500   00       4.24  626.7      5.03     3.36     0.10
DOMB       170911 300  042500-043000   00       4.24  626.6      5.10     4.73     1.47
DOMB       170911 300  043000-043500   00       4.24  626.6      5.17     6.11     2.84
DOMB       170911 300  043500-044000   00       4.24  626.7      5.12     5.08     1.81
DOMB       170911 300  044000-044500   00       4.24  626.6      5.05     3.71     0.43
DOMB       170911 300  044500-045000   00       4.24  626.6      5.10     4.73     1.45
DOMB       170911 300  045000-045500   00       4.24  626.6      5.05     3.71     0.42
DOMB       170911 300  045500-050000   00       4.24  626.6      5.00     2.68    -0.61
DOMB       170911 300  050000-050500   00       4.24  626.6      5.15     5.76     2.47
DOMB       170911 300  050500-051000   00       4.24  626.6      5.03     3.36     0.06
DOMB       170911 300  051000-051500   00       4.24  626.6      4.97     2.00    -1.30
DOMB       170911 300  051500-052000   00       4.24  626.6      5.08     4.39     1.08
