TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     mb     COEFFICIENT   -0.74     % / mb
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    170910    140000-160000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    116.72      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TERREADELI 170911 300  053500-054000   00     131.33  972.3    118.09     1.17     0.09
TERREADELI 170911 300  054000-054500   00     132.13  972.3    118.85     1.83     0.75
TERREADELI 170911 300  054500-055000   00     131.73  972.3    118.52     1.54     0.46
TERREADELI 170911 300  055000-055500   00     131.20  972.5    118.13     1.21     0.12
TERREADELI 170911 300  055500-060000   00     134.75  972.5    121.36     3.97     2.88
TERREADELI 170911 300  060000-060500   00     133.33  972.5    120.14     2.93     1.84
TERREADELI 170911 300  060500-061000   00     131.87  972.6    118.89     1.86     0.77
TERREADELI 170911 300  061000-061500   00     131.73  972.7    118.82     1.80     0.70
TERREADELI 170911 300  061500-062000   00     131.47  972.7    118.63     1.64     0.54
TERREADELI 170911 300  062000-062500   00     131.80  972.8    119.00     1.96     0.86
TERREADELI 170911 300  062500-063000   00     131.33  972.8    118.53     1.55     0.45
TERREADELI 170911 300  063000-063500   00     131.27  972.7    118.45     1.48     0.37
TERREADELI 170911 300  063500-064000   00     131.87  972.9    119.11     2.05     0.94
TERREADELI 170911 300  064000-064500   00     130.80  973.0    118.24     1.30     0.19
TERREADELI 170911 300  064500-065000   00     132.73  973.1    120.06     2.86     1.75
TERREADELI 170911 300  065000-065500   00     131.60  973.0    119.01     1.96     0.85
TERREADELI 170911 300  065500-070000   00     131.13  973.2    118.73     1.72     0.60
TERREADELI 170911 300  070000-070500   00     130.53  973.3    118.25     1.32     0.20
TERREADELI 170911 300  070500-071000   00     130.47  973.2    118.12     1.20     0.08
TERREADELI 170911 300  071000-071500   00     130.87  973.3    118.53     1.55     0.43
TERREADELI 170911 300  071500-072000   00     130.00  973.4    117.86     0.98    -0.14
TERREADELI 170911 300  072000-072500   00     129.80  973.4    117.71     0.85    -0.28
TERREADELI 170911 300  072500-073000   00     129.87  973.4    117.79     0.92    -0.21
TERREADELI 170911 300  073000-073500   00     130.67  973.4    118.51     1.54     0.41
TERREADELI 170911 300  073500-074000   00     131.07  973.4    118.81     1.79     0.66
TERREADELI 170911 300  074000-074500   00     131.73  973.4    119.48     2.37     1.24
TERREADELI 170911 300  074500-075000   00     132.87  973.6    120.68     3.39     2.26
TERREADELI 170911 300  075000-075500   00     128.53  973.7    116.81     0.08    -1.06
TERREADELI 170911 300  075500-080000   00     128.47  973.7    116.77     0.05    -1.09
TERREADELI 170911 300  080000-080500   00     128.93  973.8    117.24     0.45    -0.69
TERREADELI 170911 300  080500-081000   00     129.67  973.7    117.84     0.96    -9999
TERREADELI 170911 300  081000-081500   00     129.47  973.9    117.87     0.99    -9999
TERREADELI 170911 300  081500-082000   00     129.27  974.0    117.73     0.87    -9999
TERREADELI 170911 300  082000-082500   00     130.00  974.0    118.40     1.44    -9999
TERREADELI 170911 300  082500-083000   00     130.00  974.0    118.38     1.42    -9999
TERREADELI 170911 300  083000-083500   00     131.00  974.1    119.36     2.26    -9999
TERREADELI 170911 300  083500-084000   00     129.40  974.2    118.02     1.11    -9999
TERREADELI 170911 300  084000-084500   00     129.33  974.2    118.00     1.10    -9999
TERREADELI 170911 300  084500-085000   00     131.67  974.3    120.16     2.95    -9999
TERREADELI 170911 300  085000-085500   00     129.47  974.2    118.08     1.17    -9999
TERREADELI 170911 300  085500-090000   00     130.73  974.3    119.35     2.26    -9999
TERREADELI 170911 300  090000-090500   00     128.73  974.3    117.55     0.71    -9999
TERREADELI 170911 300  090500-091000   00     129.80  974.6    118.71     1.71    -9999
TERREADELI 170911 300  091000-091500   00     128.40  974.6    117.48     0.65    -9999
TERREADELI 170911 300  091500-092000   00     129.53  974.6    118.49     1.52    -9999
TERREADELI 170911 300  092000-092500   00     127.67  974.6    116.76     0.04    -9999
TERREADELI 170911 300  092500-093000   00     127.67  974.6    116.78     0.06    -9999
TERREADELI 170911 300  093000-093500   00     130.07  974.5    118.86     1.84    -9999
TERREADELI 170911 300  093500-094000   00     130.47  974.3    119.13     2.07    -9999
TERREADELI 170911 300  094000-094500   00     133.20  974.5    121.73     4.29    -9999
TERREADELI 170911 300  094500-095000   00     129.60  974.5    118.44     1.47    -9999
TERREADELI 170911 300  095000-095500   00     128.80  974.5    117.75     0.89    -9999
TERREADELI 170911 300  095500-100000   00     127.60  974.6    116.75     0.02    -9999
TERREADELI 170911 300  100000-100500   00     128.67  974.7    117.82     0.94    -9999
TERREADELI 170911 300  100500-101000   00     129.20  974.7    118.30     1.36    -9999
TERREADELI 170911 300  101000-101500   00     129.07  974.7    118.16     1.23    -9999
TERREADELI 170911 300  101500-102000   00     128.53  974.7    117.67     0.81    -9999
TERREADELI 170911 300  102000-102500   00     130.53  974.8    119.62     2.49    -9999
