NOR-AMBERD LATITUDE    40.37     LONGITUDE     44.25     ALTITUDE    2000 M
NOR-AMBERD INSTRUMENT   18NM64    NEUTRON MONITOR
NOR-AMBERD STANDARD PRESSURE    802     MB     COEFFICIENT   -0.67     % / MB
NOR-AMBERD PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
NOR-AMBERD PRE-INCREASE AVERAGE COUNTING RATE    241.63      COUNTS PER SECOND
NOR-AMBERD TIME INTERVALS    300         3600     
NOR-AMBERD SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NOR-AMBERD 240511 300  064500-065000   00     226.37  809.0    240.93    -0.29    -9999
NOR-AMBERD 240511 300  065000-065500   00     227.05  808.9    241.56    -0.03    -9999
NOR-AMBERD 240511 300  065500-070000   00     225.44  808.8    239.71    -0.80    -9999
NOR-AMBERD 240511 300  070000-070500   00     224.31  808.8    238.48    -1.30    -9999
NOR-AMBERD 240511 300  070500-071000   00     227.76  808.8    242.15     0.21    -9999
NOR-AMBERD 240511 300  071000-071500   00     227.72  808.8    242.09     0.19    -9999
NOR-AMBERD 240511 300  071500-072000   00     228.61  808.8    243.04     0.58    -9999
NOR-AMBERD 240511 300  072000-072500   00     226.82  808.8    241.19    -0.18    -9999
NOR-AMBERD 240511 300  072500-073000   00     228.06  808.8    242.45     0.34    -9999
NOR-AMBERD 240511 300  073000-073500   00     225.87  808.8    240.05    -0.66    -9999
NOR-AMBERD 240511 300  073500-074000   00     229.93  808.7    244.22     1.07    -9999
NOR-AMBERD 240511 300  074000-074500   00     230.61  808.7    244.94     1.37    -9999
NOR-AMBERD 240511 300  074500-075000   00     226.95  808.7    241.09    -0.22    -9999
NOR-AMBERD 240511 300  075000-075500   00     225.81  808.7    239.89    -0.72    -9999
NOR-AMBERD 240511 300  075500-080000   00     224.86  808.8    238.97    -1.10    -9999
NOR-AMBERD 240511 300  080000-080500   00     229.40  808.8    243.83     0.91    -9999
NOR-AMBERD 240511 300  080500-081000   00     227.62  808.8    241.99     0.15    -9999
NOR-AMBERD 240511 300  081000-081500   00     228.99  808.8    243.49     0.77    -9999
NOR-AMBERD 240511 300  081500-082000   00     231.15  808.8    245.74     1.70    -9999
NOR-AMBERD 240511 300  082000-082500   00     227.77  808.8    242.08     0.18    -9999
