MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.71     % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    205.31      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 240511 300  122500-123000   00     209.53  775.5    204.85    -0.22    -9999
MEXICOCITY 240511 300  123000-123500   00     208.57  775.6    204.03    -0.63    -9999
MEXICOCITY 240511 300  123500-124000   00     210.44  775.6    205.95     0.31    -9999
MEXICOCITY 240511 300  124000-124500   00     209.95  775.7    205.57     0.12    -9999
MEXICOCITY 240511 300  124500-125000   00     211.19  775.7    206.77     0.71    -9999
MEXICOCITY 240511 300  125000-125500   00     208.82  775.7    204.51    -0.39    -9999
MEXICOCITY 240511 300  125500-130000   00     208.19  775.8    203.98    -0.65    -9999
MEXICOCITY 240511 300  130000-130500   00     208.65  775.9    204.55    -0.37    -9999
MEXICOCITY 240511 300  130500-131000   00     206.76  775.9    202.75    -1.25    -9999
MEXICOCITY 240511 300  131000-131500   00     210.45  776.0    206.48     0.57    -9999
MEXICOCITY 240511 300  131500-132000   00     206.70  776.0    202.81    -1.22    -9999
MEXICOCITY 240511 300  132000-132500   00     210.31  776.1    206.47     0.57    -9999
MEXICOCITY 240511 300  132500-133000   00     209.70  776.1    205.90     0.29    -9999
MEXICOCITY 240511 300  133000-133500   00     208.86  776.0    204.95    -0.17    -9999
MEXICOCITY 240511 300  133500-134000   00     209.80  776.0    205.85     0.26    -9999
MEXICOCITY 240511 300  134000-134500   00     209.01  776.0    205.08    -0.11    -9999
MEXICOCITY 240511 300  134500-135000   00     208.81  776.0    204.88    -0.21    -9999
MEXICOCITY 240511 300  135000-135500   00     209.28  776.0    205.34     0.01    -9999
MEXICOCITY 240511 300  135500-140000   00     210.91  776.0    206.97     0.81    -9999
MEXICOCITY 240511 300  140000-140500   00     212.68  776.0    208.68     1.64    -9999
