TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     MB     COEFFICIENT   -0.74     % / MB
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE     97.31      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TERREADELI 240511 3600 210000-220000   00      94.62  993.4     99.57     2.31    -9999
TERREADELI 240511 3600 220000-230000   00      93.50  993.8     98.63     1.35    -9999
TERREADELI 240511 3600 230000-240000   00      93.10  994.2     98.52     1.24    -9999
TERREADELI 240512 3600 000000-010000   00      93.79  994.2     99.27     2.01    -9999
TERREADELI 240512 3600 010000-020000   00      93.62  994.3     99.16     1.90    -9999
TERREADELI 240512 3600 020000-030000   00      93.57  994.5     99.22     1.96    -9999
TERREADELI 240512 3600 030000-040000   00      93.41  994.1     98.80     1.53    -9999
TERREADELI 240512 3600 040000-050000   00      92.99  994.0     98.29     1.00    -9999
TERREADELI 240512 3600 050000-060000   00      93.09  993.6     98.04     0.75    -9999
TERREADELI 240512 3600 060000-070000   00      93.89  993.0     98.49     1.21    -9999
TERREADELI 240512 3600 070000-080000   00      94.00  992.7     98.39     1.11    -9999
TERREADELI 240512 3600 080000-090000   00      94.63  992.6     98.98     1.72    -9999
TERREADELI 240512 3600 090000-100000   00      95.24  992.6     99.62     2.37    -9999
TERREADELI 240512 3600 100000-110000   00      94.12  992.5     98.32     1.03    -9999
TERREADELI 240512 3600 110000-120000   00      94.47  992.0     98.32     1.03    -9999
TERREADELI 240512 3600 120000-130000   00      95.42  991.4     98.87     1.60    -9999
TERREADELI 240512 3600 130000-140000   00      95.40  991.1     98.64     1.36    -9999
TERREADELI 240512 3600 140000-150000   00      95.64  990.6     98.51     1.22    -9999
TERREADELI 240512 3600 150000-160000   00      96.73  990.0     99.20     1.93    -9999
TERREADELI 240512 3600 160000-170000   00      96.98  989.5     99.14     1.88    -9999
TERREADELI 240512 3600 170000-180000   00      96.89  989.0     98.68     1.41    -9999
TERREADELI 240512 3600 180000-190000   00      97.99  988.4     99.36     2.10    -9999
TERREADELI 240512 3600 190000-200000   00      98.03  988.1     99.14     1.88    -9999
TERREADELI 240512 3600 200000-210000   00      98.72  987.9     99.67     2.41    -9999
TERREADELI 240512 3600 210000-220000   00      98.67  987.8     99.59     2.34    -9999
TERREADELI 240512 3600 220000-230000   00      99.67  987.6    100.42     3.19    -9999
TERREADELI 240512 3600 230000-240000   00     100.16  987.6    100.96     3.74    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074TERA_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
