SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    687.7   MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    108.93      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 240511 300  152000-152500   00     120.93  670.6    112.81     3.56    -9999
SOPO-6NM64 240511 300  152500-153000   00     121.42  670.5    113.25     3.97    -9999
SOPO-6NM64 240511 300  153000-153500   00     120.67  670.5    112.51     3.29    -9999
SOPO-6NM64 240511 300  153500-154000   00     119.83  670.5    111.75     2.59    -9999
SOPO-6NM64 240511 300  154000-154500   00     120.19  670.5    112.09     2.90    -9999
SOPO-6NM64 240511 300  154500-155000   00     121.47  670.5    113.28     3.99    -9999
SOPO-6NM64 240511 300  155000-155500   00     121.22  670.6    113.10     3.82    -9999
SOPO-6NM64 240511 300  155500-160000   00     120.94  670.6    112.84     3.59    -9999
SOPO-6NM64 240511 3600 160000-170000   00     121.24  670.7    113.20     3.92    -9999
SOPO-6NM64 240511 3600 170000-180000   00     120.69  671.0    112.91     3.65    -9999
SOPO-6NM64 240511 3600 180000-190000   00     119.82  671.4    112.51     3.28    -9999
SOPO-6NM64 240511 3600 190000-200000   00     119.46  671.6    112.28     3.08    -9999
SOPO-6NM64 240511 3600 200000-210000   00     119.43  671.7    112.36     3.14    -9999
SOPO-6NM64 240511 3600 210000-220000   00     119.32  671.9    112.43     3.22    -9999
SOPO-6NM64 240511 3600 220000-230000   00     117.73  672.4    111.36     2.23    -9999
SOPO-6NM64 240511 3600 230000-240000   00     117.75  672.6    111.49     2.35    -9999
SOPO-6NM64 240512 3600 000000-010000   00     117.63  673.0    111.73     2.57    -9999
SOPO-6NM64 240512 3600 010000-020000   00     117.14  673.4    111.60     2.45    -9999
SOPO-6NM64 240512 3600 020000-030000   00     116.53  673.8    111.35     2.22    -9999
SOPO-6NM64 240512 3600 030000-040000   00     116.96  673.9    111.85     2.68    -9999
SOPO-6NM64 240512 3600 040000-050000   00     117.04  673.9    111.92     2.74    -9999
SOPO-6NM64 240512 3600 050000-060000   00     117.58  674.1    112.63     3.40    -9999
SOPO-6NM64 240512 3600 060000-070000   00     117.23  674.4    112.54     3.31    -9999
SOPO-6NM64 240512 3600 070000-080000   00     117.31  674.9    113.02     3.75    -9999
SOPO-6NM64 240512 3600 080000-090000   00     117.07  675.1    112.92     3.66    -9999
SOPO-6NM64 240512 3600 090000-100000   00     116.25  675.0    112.11     2.92    -9999
SOPO-6NM64 240512 3600 100000-110000   00     115.10  675.3    111.24     2.12    -9999
SOPO-6NM64 240512 3600 110000-120000   00     115.21  675.7    111.68     2.52    -9999
SOPO-6NM64 240512 3600 120000-130000   00     115.44  675.7    111.91     2.73    -9999
SOPO-6NM64 240512 3600 130000-140000   00     116.28  675.9    112.84     3.59    -9999
SOPO-6NM64 240512 3600 140000-150000   00     116.36  676.2    113.14     3.87    -9999
SOPO-6NM64 240512 3600 150000-160000   00     116.30  676.5    113.38     4.08    -9999
SOPO-6NM64 240512 3600 160000-170000   00     116.23  676.6    113.41     4.11    -9999
SOPO-6NM64 240512 3600 170000-180000   00     115.95  676.8    113.27     3.98    -9999
SOPO-6NM64 240512 3600 180000-190000   00     116.04  677.2    113.68     4.36    -9999
SOPO-6NM64 240512 3600 190000-200000   00     116.52  677.5    114.45     5.07    -9999
SOPO-6NM64 240512 3600 200000-210000   00     116.80  677.9    115.06     5.63    -9999
SOPO-6NM64 240512 3600 210000-220000   00     116.21  678.4    114.91     5.49    -9999
SOPO-6NM64 240512 3600 220000-230000   00     115.07  678.7    114.05     4.70    -9999
SOPO-6NM64 240512 3600 230000-240000   00     115.43  679.0    114.62     5.22    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
