FORT-SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
FORT-SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
FORT-SMITH STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
FORT-SMITH PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
FORT-SMITH PRE-INCREASE AVERAGE COUNTING RATE    178.05      COUNTS PER SECOND
FORT-SMITH TIME INTERVALS    300         3600     
FORT-SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
FORT-SMITH 240511 300  114000-114500   00     233.67  978.5    180.39     1.31     0.39
FORT-SMITH 240511 300  114500-115000   00     236.17  978.6    182.44     2.46     1.55
FORT-SMITH 240511 300  115000-115500   00     236.44  978.7    182.72     2.62     1.71
FORT-SMITH 240511 300  115500-120000   00     233.64  978.7    180.64     1.45     0.55
FORT-SMITH 240511 300  120000-120500   00     232.17  978.7    179.52     0.83    -0.07
FORT-SMITH 240511 300  120500-121000   00     232.54  978.8    179.85     1.01     0.12
FORT-SMITH 240511 300  121000-121500   00     231.35  978.8    178.99     0.53    -0.35
FORT-SMITH 240511 300  121500-122000   00     231.46  978.9    179.18     0.63    -0.24
FORT-SMITH 240511 300  122000-122500   00     228.12  978.9    176.64    -0.79    -1.65
FORT-SMITH 240511 300  122500-123000   00     230.48  979.0    178.55     0.28    -0.57
FORT-SMITH 240511 300  123000-123500   00     230.72  979.0    178.80     0.42    -0.42
FORT-SMITH 240511 300  123500-124000   00     229.25  979.1    177.75    -0.17    -1.00
FORT-SMITH 240511 300  124000-124500   00     226.40  979.2    175.66    -1.35    -2.17
FORT-SMITH 240511 300  124500-125000   00     228.57  979.3    177.44    -0.35    -1.15
FORT-SMITH 240511 300  125000-125500   00     227.79  979.4    176.95    -0.62    -1.42
