OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.74     % / MB
OULU       PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     88.43      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
OULU       240512 3600 150000-160000   00      80.56 1017.1     91.60     3.59    -9999
OULU       240512 3600 160000-170000   00      80.70 1017.0     91.68     3.69    -9999
OULU       240512 3600 170000-180000   00      80.19 1017.0     91.13     3.06    -9999
OULU       240512 3600 180000-190000   00      79.68 1017.1     90.61     2.47    -9999
OULU       240512 3600 190000-200000   00      79.86 1017.2     90.86     2.76    -9999
OULU       240512 3600 200000-210000   00      79.96 1017.3     91.06     2.98    -9999
OULU       240512 3600 210000-220000   00      80.18 1017.3     91.30     3.25    -9999
OULU       240512 3600 220000-230000   00      80.59 1017.3     91.76     3.77    -9999
OULU       240512 3600 230000-240000   00      80.73 1017.2     91.87     3.89    -9999
*
COMMENT NM DATA DOWNLOADED FROM COSMICRAYS.OULU.FI ON 14.5.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074OULU_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
