IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    715     MB     COEFFICIENT   -0.72     % / MB
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    366.00      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK3   240512 3600 130000-140000   00     345.58  724.8    370.78     1.31    -9999
IRKUTSK3   240512 3600 140000-150000   00     345.18  724.9    370.52     1.23    -9999
IRKUTSK3   240512 3600 150000-160000   00     337.20  724.8    368.08     0.57    -9999
IRKUTSK3   240512 3600 160000-170000   00     342.80  724.8    367.83     0.50    -9999
IRKUTSK3   240512 3600 170000-180000   00     343.25  724.7    368.13     0.58    -9999
IRKUTSK3   240512 3600 180000-190000   00     343.98  724.8    369.05     0.83    -9999
IRKUTSK3   240512 3600 190000-200000   00     345.48  725.0    371.28     1.44    -9999
IRKUTSK3   240512 3600 200000-210000   00     346.08  725.3    372.72     1.84    -9999
IRKUTSK3   240512 3600 210000-220000   00     349.18  725.4    376.23     2.80    -9999
IRKUTSK3   240512 3600 220000-230000   00     350.93  725.8    379.12     3.58    -9999
IRKUTSK3   240512 3600 230000-240000   00     356.20  726.3    386.43     5.58    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING CANNOT BE ROBUSTLY DONE
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074IRK3.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
