SANAE      LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE      INSTRUMENT   6NM64    NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.97      % / MMHG
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE     64.28      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
SANAE      240511 300  142000-142500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  142500-143000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  143000-143500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  143500-144000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  144000-144500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  144500-145000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  145000-145500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  145500-150000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  150000-150500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  150500-151000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  151000-151500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  151500-152000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  152000-152500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  152500-153000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  153000-153500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  153500-154000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  154000-154500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  154500-155000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  155000-155500   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 300  155500-160000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 3600 160000-170000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 3600 170000-180000   00    -999.00 -999.0   -999.00    -9999    -9999
SANAE      240511 3600 180000-190000   00    -999.00 -999.0   -999.00    -9999    -9999
