CALMA      LATITUDE    40.64     LONGITUDE     -3.16     ALTITUDE    708 M
CALMA      INSTRUMENT   15NM64    NEUTRON MONITOR
CALMA      STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.67     % / MB
CALMA      PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
CALMA      PRE-INCREASE AVERAGE COUNTING RATE     66.24      COUNTS PER SECOND
CALMA      TIME INTERVALS    300         3600     
CALMA      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALMA      240511 300  120000-120500   00      69.79  934.9     68.78     3.84    -9999
CALMA      240511 300  120500-121000   00      67.00  934.8     65.99    -0.37    -9999
CALMA      240511 300  121000-121500   00      68.37  934.8     67.35     1.68    -9999
CALMA      240511 300  121500-122000   00      69.87  934.8     68.82     3.90    -9999
CALMA      240511 300  122000-122500   00      68.64  934.8     67.61     2.07    -9999
CALMA      240511 300  122500-123000   00      68.45  934.8     67.41     1.77    -9999
CALMA      240511 300  123000-123500   00      67.95  934.8     66.91     1.02    -9999
CALMA      240511 300  123500-124000   00      69.40  934.8     68.33     3.16    -9999
CALMA      240511 300  124000-124500   00      67.48  934.7     66.41     0.26    -9999
CALMA      240511 300  124500-125000   00      67.76  934.6     66.67     0.65    -9999
CALMA      240511 300  125000-125500   00      69.22  934.6     68.08     2.79    -9999
CALMA      240511 300  125500-130000   00      67.16  934.5     66.03    -0.32    -9999
CALMA      240511 300  130000-130500   00      68.92  934.5     67.74     2.26    -9999
CALMA      240511 300  130500-131000   00      69.98  934.5     68.75     3.80    -9999
CALMA      240511 300  131000-131500   00      67.49  934.4     66.29     0.08    -9999
CALMA      240511 300  131500-132000   00      68.66  934.4     67.44     1.82    -9999
CALMA      240511 300  132000-132500   00      67.41  934.4     66.21    -0.05    -9999
CALMA      240511 300  132500-133000   00      69.13  934.3     67.86     2.45    -9999
CALMA      240511 300  133000-133500   00      67.67  934.3     66.44     0.30    -9999
CALMA      240511 300  133500-134000   00      69.37  934.3     68.07     2.77    -9999
CALMA      240511 300  134000-134500   00      68.14  934.2     66.82     0.88    -9999
CALMA      240511 300  134500-135000   00      68.44  934.1     67.09     1.29    -9999
CALMA      240511 300  135000-135500   00      68.52  934.0     67.14     1.36    -9999
CALMA      240511 300  135500-140000   00      70.05  934.0     68.63     3.61    -9999
CALMA      240511 300  140000-140500   00      67.81  934.0     66.41     0.27    -9999
CALMA      240511 300  140500-141000   00      69.86  933.9     68.38     3.24    -9999
CALMA      240511 300  141000-141500   00      68.58  933.8     67.10     1.30    -9999
CALMA      240511 300  141500-142000   00      70.76  933.8     69.21     4.49    -9999
CALMA      240511 300  142000-142500   00      66.61  933.7     65.12    -1.69    -9999
CALMA      240511 300  142500-143000   00      68.42  933.7     66.89     0.99    -9999
CALMA      240511 300  143000-143500   00      69.03  933.7     67.48     1.87    -9999
CALMA      240511 300  143500-144000   00      68.70  933.7     67.14     1.37    -9999
CALMA      240511 300  144000-144500   00      68.05  933.7     66.51     0.41    -9999
CALMA      240511 300  144500-145000   00      68.89  933.6     67.29     1.59    -9999
CALMA      240511 300  145000-145500   00      70.09  933.5     68.41     3.29    -9999
