MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.71     % / MB
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE  7,636.73      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MOSCOW     240512 3600 000000-010000   00    8231.00  991.6   7746.00     1.43    -9999
MOSCOW     240512 3600 010000-020000   00    8226.00  991.9   7757.00     1.57    -9999
MOSCOW     240512 3600 020000-030000   00    8269.00  992.4   7829.00     2.52    -9999
MOSCOW     240512 3600 030000-040000   00    8311.00  992.9   7897.00     3.41    -9999
MOSCOW     240512 3600 040000-050000   00    8317.00  993.4   7930.00     3.84    -9999
MOSCOW     240512 3600 050000-060000   00    8236.00  993.9   7883.00     3.22    -9999
MOSCOW     240512 3600 060000-070000   00    8257.00  994.2   7920.00     3.71    -9999
MOSCOW     240512 3600 070000-080000   00    8288.00  994.6   7971.00     4.38    -9999
MOSCOW     240512 3600 080000-090000   00    8237.00  995.0   7943.00     4.01    -9999
MOSCOW     240512 3600 090000-100000   00    8255.00  995.3   7979.00     4.48    -9999
MOSCOW     240512 3600 100000-110000   00    8222.00  995.6   7968.00     4.34    -9999
MOSCOW     240512 3600 110000-120000   00    8177.00  996.0   7944.00     4.02    -9999
MOSCOW     240512 3600 120000-130000   00    8142.00  996.1   7917.00     3.67    -9999
MOSCOW     240512 3600 130000-140000   00    8129.00  996.2   7910.00     3.58    -9999
MOSCOW     240512 3600 140000-150000   00    8173.00  996.3   7957.00     4.19    -9999
MOSCOW     240512 3600 150000-160000   00    8104.00  996.5   7903.00     3.49    -9999
MOSCOW     240512 3600 160000-170000   00    8172.00  996.7   7978.00     4.47    -9999
MOSCOW     240512 3600 170000-180000   00    8095.00  997.0   7921.00     3.72    -9999
MOSCOW     240512 3600 180000-190000   00    8005.00  997.1   7840.00     2.66    -9999
MOSCOW     240512 3600 190000-200000   00    8057.00  997.2   7897.00     3.41    -9999
MOSCOW     240512 3600 200000-210000   00    8052.00  997.3   7899.00     3.43    -9999
MOSCOW     240512 3600 210000-220000   00    8047.00  997.4   7895.00     3.38    -9999
MOSCOW     240512 3600 220000-230000   00    8101.00  997.5   7955.00     4.17    -9999
MOSCOW     240512 3600 230000-240000   00    8169.00  997.6   8026.00     5.10    -9999
*
COMMENT NM DATA DOWNLOADED FROM IZMIRAN DB ON 14.5.2024
COMMENT 5MIN DATA SCALED TO 1H WITH FACTOR OF 1.067
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074MOSC.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
