LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    747     MB     COEFFICIENT   -0.72     % / MB
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    383.91      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
LOMNICKY   240511 300  151500-152000   00     365.39  741.1    386.38     0.64    -9999
LOMNICKY   240511 300  152000-152500   00     367.86  741.1    388.90     1.30    -9999
LOMNICKY   240511 300  152500-153000   00     367.64  741.0    388.53     1.20    -9999
LOMNICKY   240511 300  153000-153500   00     365.86  740.9    386.29     0.62    -9999
LOMNICKY   240511 300  153500-154000   00     364.60  740.8    384.73     0.21    -9999
LOMNICKY   240511 300  154000-154500   00     364.59  740.7    384.35     0.12    -9999
LOMNICKY   240511 300  154500-155000   00     367.96  740.6    387.61     0.97    -9999
LOMNICKY   240511 300  155000-155500   00     369.38  740.4    388.56     1.21    -9999
LOMNICKY   240511 300  155500-160000   00     369.03  740.2    387.87     1.03    -9999
LOMNICKY   240511 3600 160000-170000   00     367.30  740.1    385.71     0.47    -9999
LOMNICKY   240511 3600 170000-180000   00     365.89  740.4    384.88     0.25    -9999
LOMNICKY   240511 3600 180000-190000   00     363.22  740.6    382.67    -0.32    -9999
LOMNICKY   240511 3600 190000-200000   00     362.40  740.6    382.00    -0.50    -9999
LOMNICKY   240511 3600 200000-210000   00     362.69  740.5    381.90    -0.52    -9999
LOMNICKY   240511 3600 210000-220000   00     364.26  740.4    383.32    -0.15    -9999
LOMNICKY   240511 3600 220000-230000   00     362.35  740.2    380.61    -0.86    -9999
LOMNICKY   240511 3600 230000-240000   00     363.28  739.9    380.95    -0.77    -9999
LOMNICKY   240512 3600 000000-010000   00     362.12  739.8    379.43    -1.17    -9999
LOMNICKY   240512 3600 010000-020000   00     365.06  739.7    382.17    -0.45    -9999
LOMNICKY   240512 3600 020000-030000   00     367.92  739.6    384.82     0.24    -9999
LOMNICKY   240512 3600 030000-040000   00     369.30  739.7    386.62     0.71    -9999
LOMNICKY   240512 3600 040000-050000   00     370.29  739.7    387.74     1.00    -9999
LOMNICKY   240512 3600 050000-060000   00     370.24  739.9    388.10     1.09    -9999
LOMNICKY   240512 3600 060000-070000   00     371.75  740.1    390.26     1.65    -9999
LOMNICKY   240512 3600 070000-080000   00     370.80  740.3    389.77     1.53    -9999
LOMNICKY   240512 3600 080000-090000   00     370.65  740.5    390.35     1.68    -9999
LOMNICKY   240512 3600 090000-100000   00     371.88  740.9    392.56     2.25    -9999
LOMNICKY   240512 3600 100000-110000   00     372.37  741.1    393.77     2.57    -9999
LOMNICKY   240512 3600 110000-120000   00     372.68  741.1    394.15     2.67    -9999
LOMNICKY   240512 3600 120000-130000   00     371.26  741.1    392.57     2.26    -9999
LOMNICKY   240512 3600 130000-140000   00     371.17  741.0    392.14     2.14    -9999
LOMNICKY   240512 3600 140000-150000   00     371.52  740.9    392.25     2.17    -9999
LOMNICKY   240512 3600 150000-160000   00     372.07  740.7    392.22     2.16    -9999
LOMNICKY   240512 3600 160000-170000   00     370.72  740.6    390.70     1.77    -9999
LOMNICKY   240512 3600 170000-180000   00     371.23  740.8    391.64     2.01    -9999
LOMNICKY   240512 3600 180000-190000   00     369.03  740.8    389.49     1.45    -9999
LOMNICKY   240512 3600 190000-200000   00     368.13  740.9    388.83     1.28    -9999
LOMNICKY   240512 3600 200000-210000   00     369.03  740.9    389.58     1.48    -9999
LOMNICKY   240512 3600 210000-220000   00     369.65  740.8    390.00     1.59    -9999
LOMNICKY   240512 3600 220000-230000   00     372.35  740.7    392.71     2.29    -9999
LOMNICKY   240512 3600 230000-240000   00     377.95  740.7    398.46     3.79    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING CANNOT BE ROBUSTLY DONE
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074LMSK.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
