SOUTH-POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH-POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH-POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.69     % / MB
SOUTH-POLE PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
SOUTH-POLE PRE-INCREASE AVERAGE COUNTING RATE    231.08      COUNTS PER SECOND
SOUTH-POLE TIME INTERVALS    300         3600     
SOUTH-POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH-POLE 240511 300  061500-062000   00     259.26  670.7    241.82     4.65     2.87
SOUTH-POLE 240511 300  062000-062500   00     260.00  670.7    242.46     4.93     3.13
SOUTH-POLE 240511 300  062500-063000   00     258.58  670.6    241.05     4.31     2.50
SOUTH-POLE 240511 300  063000-063500   00     259.33  670.6    241.71     4.60     2.77
SOUTH-POLE 240511 300  063500-064000   00     259.07  670.6    241.50     4.51     2.66
SOUTH-POLE 240511 300  064000-064500   00     260.54  670.6    242.91     5.12     3.25
SOUTH-POLE 240511 300  064500-065000   00     259.62  670.6    242.03     4.74     2.85
SOUTH-POLE 240511 300  065000-065500   00     261.69  670.6    243.93     5.56     3.66
SOUTH-POLE 240511 300  065500-070000   00     258.12  670.6    240.63     4.13     2.21
SOUTH-POLE 240511 300  070000-070500   00     258.37  670.6    240.74     4.18     2.24
SOUTH-POLE 240511 300  070500-071000   00     261.22  670.6    243.38     5.32     3.37
SOUTH-POLE 240511 300  071000-071500   00     261.58  670.5    243.62     5.43     3.46
SOUTH-POLE 240511 300  071500-072000   00     260.01  670.5    242.22     4.82     2.83
SOUTH-POLE 240511 300  072000-072500   00     262.23  670.5    244.28     5.71     3.70
SOUTH-POLE 240511 300  072500-073000   00     259.68  670.5    241.79     4.63     2.61
SOUTH-POLE 240511 300  073000-073500   00     261.39  670.4    243.22     5.26     3.22
SOUTH-POLE 240511 300  073500-074000   00     259.90  670.3    241.76     4.62     2.57
SOUTH-POLE 240511 300  074000-074500   00     262.61  670.3    244.26     5.71     3.63
SOUTH-POLE 240511 300  074500-075000   00     259.81  670.3    241.68     4.59     2.50
SOUTH-POLE 240511 300  075000-075500   00     259.97  670.4    241.96     4.71     2.61
SOUTH-POLE 240511 300  075500-080000   00     260.78  670.4    242.73     5.04     2.92
SOUTH-POLE 240511 300  080000-080500   00     260.69  670.4    242.62     4.99     2.86
SOUTH-POLE 240511 300  080500-081000   00     258.78  670.4    240.84     4.23     2.08
SOUTH-POLE 240511 300  081000-081500   00     259.47  670.4    241.53     4.52     2.36
SOUTH-POLE 240511 300  081500-082000   00     262.30  670.4    244.19     5.67     3.49
SOUTH-POLE 240511 300  082000-082500   00     259.63  670.4    241.67     4.58     2.39
SOUTH-POLE 240511 300  082500-083000   00     261.89  670.4    243.75     5.48     3.27
SOUTH-POLE 240511 300  083000-083500   00     261.50  670.4    243.45     5.35     3.13
SOUTH-POLE 240511 300  083500-084000   00     261.03  670.4    243.00     5.16     2.92
SOUTH-POLE 240511 300  084000-084500   00     259.76  670.4    241.77     4.63     2.37
SOUTH-POLE 240511 300  084500-085000   00     258.65  670.4    240.73     4.17     1.91
SOUTH-POLE 240511 300  085000-085500   00     260.64  670.5    242.76     5.05     2.77
SOUTH-POLE 240511 300  085500-090000   00     260.97  670.5    243.06     5.19     2.89
SOUTH-POLE 240511 300  090000-090500   00     256.86  670.5    239.17     3.50     1.19
SOUTH-POLE 240511 300  090500-091000   00     258.05  670.4    240.19     3.94     1.62
SOUTH-POLE 240511 300  091000-091500   00     257.76  670.4    239.86     3.80     1.47
SOUTH-POLE 240511 300  091500-092000   00     258.86  670.5    241.01     4.30     1.95
SOUTH-POLE 240511 300  092000-092500   00     257.09  670.6    239.56     3.67     1.31
SOUTH-POLE 240511 300  092500-093000   00     256.23  670.7    238.92     3.39     1.02
