CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    884     MB     COEFFICIENT   -999      % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    245.81      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    240511 300  115500-120000   00     272.60  885.1    248.10     0.93     0.12
CALGARY    240511 300  120000-120500   00     271.03  885.0    246.63     0.34    -0.46
CALGARY    240511 300  120500-121000   00     276.02  885.0    251.13     2.16     1.39
CALGARY    240511 300  121000-121500   00     271.61  885.0    247.08     0.52    -0.24
CALGARY    240511 300  121500-122000   00     271.90  885.0    247.37     0.64    -0.10
CALGARY    240511 300  122000-122500   00     276.42  885.0    251.55     2.34     1.62
CALGARY    240511 300  122500-123000   00     272.39  885.1    247.93     0.86     0.16
CALGARY    240511 300  123000-123500   00     270.12  885.1    245.87     0.02    -0.66
CALGARY    240511 300  123500-124000   00     272.18  885.1    247.78     0.80     0.14
CALGARY    240511 300  124000-124500   00     267.42  885.1    243.49    -0.94    -1.58
CALGARY    240511 300  124500-125000   00     266.93  885.1    243.03    -1.13    -1.75
CALGARY    240511 300  125000-125500   00     268.81  885.1    244.71    -0.45    -1.04
CALGARY    240511 300  125500-130000   00     270.54  885.1    246.35     0.22    -0.36
CALGARY    240511 300  130000-130500   00     270.04  885.1    245.85     0.02    -0.54
CALGARY    240511 300  130500-131000   00     269.94  885.1    245.76    -0.02    -0.55
CALGARY    240511 300  131000-131500   00     268.05  885.1    244.06    -0.71    -1.22
CALGARY    240511 300  131500-132000   00     270.02  885.1    245.81     0.00    -0.49
CALGARY    240511 300  132000-132500   00     267.59  885.1    243.57    -0.91    -1.37
CALGARY    240511 300  132500-133000   00     269.53  885.1    245.33    -0.19    -0.63
CALGARY    240511 300  133000-133500   00     270.18  885.1    245.95     0.06    -0.36
CALGARY    240511 300  133500-134000   00     265.74  885.1    241.96    -1.56    -1.96
CALGARY    240511 300  134000-134500   00     269.14  885.1    245.04    -0.31    -0.68
CALGARY    240511 300  134500-135000   00     271.65  885.1    247.34     0.62     0.28
CALGARY    240511 300  135000-135500   00     269.99  885.1    245.86     0.02    -0.29
CALGARY    240511 300  135500-140000   00     270.76  885.1    246.61     0.32     0.03
CALGARY    240511 300  140000-140500   00     270.12  885.1    246.01     0.08    -9999
CALGARY    240511 300  140500-141000   00     269.91  885.1    245.82     0.00    -9999
CALGARY    240511 300  141000-141500   00     271.25  885.1    246.97     0.47    -9999
CALGARY    240511 300  141500-142000   00     268.79  885.1    244.70    -0.45    -9999
CALGARY    240511 300  142000-142500   00     268.50  885.1    244.43    -0.56    -9999
CALGARY    240511 300  142500-143000   00     266.39  885.1    242.51    -1.34    -9999
CALGARY    240511 300  143000-143500   00     268.30  885.3    244.68    -0.46    -9999
CALGARY    240511 300  143500-144000   00     269.17  885.4    245.70    -0.04    -9999
CALGARY    240511 300  144000-144500   00     268.41  885.4    244.94    -0.35    -9999
CALGARY    240511 300  144500-145000   00     270.11  885.4    246.58     0.31    -9999
CALGARY    240511 300  145000-145500   00     268.10  885.5    244.84    -0.39    -9999
CALGARY    240511 300  145500-150000   00     268.34  885.5    245.06    -0.31    -9999
CALGARY    240511 300  150000-150500   00     269.33  885.4    245.83     0.01    -9999
