YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    183.29      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    240511 300  094500-095000   00     183.89 1004.9    186.37     1.68     0.51
YAKUTSK    240511 300  095000-095500   00     184.77 1004.9    187.28     2.18     1.02
YAKUTSK    240511 300  095500-100000   00     182.24 1004.9    184.64     0.74    -0.40
YAKUTSK    240511 300  100000-100500   00     184.99 1004.8    187.39     2.23     1.11
YAKUTSK    240511 300  100500-101000   00     185.25 1004.9    187.71     2.41     1.30
YAKUTSK    240511 300  101000-101500   00     183.44 1004.9    185.95     1.45     0.37
YAKUTSK    240511 300  101500-102000   00     182.64 1004.9    185.15     1.01    -0.04
YAKUTSK    240511 300  102000-102500   00     183.36 1005.0    185.89     1.42     0.38
YAKUTSK    240511 300  102500-103000   00     182.29 1005.0    184.93     0.90    -0.12
YAKUTSK    240511 300  103000-103500   00     184.27 1005.1    186.96     2.00     1.00
YAKUTSK    240511 300  103500-104000   00     179.57 1005.0    182.16    -0.62    -1.58
YAKUTSK    240511 300  104000-104500   00     182.72 1005.1    185.44     1.17     0.22
YAKUTSK    240511 300  104500-105000   00     181.41 1005.1    184.16     0.47    -0.45
YAKUTSK    240511 300  105000-105500   00     183.87 1005.1    186.67     1.84     0.93
YAKUTSK    240511 300  105500-110000   00     180.51 1005.2    183.28    -0.01    -0.88
YAKUTSK    240511 300  110000-110500   00     183.47 1005.2    186.32     1.65     0.79
YAKUTSK    240511 300  110500-111000   00     180.88 1005.2    183.71     0.23    -0.61
YAKUTSK    240511 300  111000-111500   00     179.97 1005.2    182.80    -0.27    -1.07
YAKUTSK    240511 300  111500-112000   00     184.45 1005.2    187.36     2.22     1.42
YAKUTSK    240511 300  112000-112500   00     182.96 1005.2    185.84     1.39     0.62
YAKUTSK    240511 300  112500-113000   00     180.56 1005.2    183.47     0.10    -0.64
YAKUTSK    240511 300  113000-113500   00     182.61 1005.3    185.55     1.23     0.52
YAKUTSK    240511 300  113500-114000   00     183.15 1005.3    186.13     1.55     0.86
YAKUTSK    240511 300  114000-114500   00     180.32 1005.3    183.25    -0.02    -0.68
YAKUTSK    240511 300  114500-115000   00     180.61 1005.3    183.55     0.14    -0.49
YAKUTSK    240511 300  115000-115500   00     179.60 1005.3    182.53    -0.41    -1.01
YAKUTSK    240511 300  115500-120000   00     179.68 1005.3    182.59    -0.38    -0.96
YAKUTSK    240511 300  120000-120500   00     180.83 1005.3    183.73     0.24    -0.31
YAKUTSK    240511 300  120500-121000   00     179.65 1005.2    182.56    -0.40    -0.92
