DOURBES    LATITUDE    50.1      LONGITUDE     4.6       ALTITUDE    225 M
DOURBES    INSTRUMENT   9-NM-64  NEUTRON MONITOR	
DOURBES    STANDARD PRESSURE    -999    MB     COEFFICIENT   -999      % / MB
DOURBES    PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
DOURBES    PRE-INCREASE AVERAGE COUNTING RATE     92.99      COUNTS PER SECOND
DOURBES    TIME INTERVALS    300         3600     
DOURBES    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOURBES    240511 300  111500-112000   00      89.23  993.6     94.02     1.11    -9999
DOURBES    240511 300  112000-112500   00      89.22  993.6     93.99     1.08    -9999
DOURBES    240511 300  112500-113000   00      90.74  993.6     95.58     2.78    -9999
DOURBES    240511 300  113000-113500   00      89.52  993.5     94.25     1.36    -9999
DOURBES    240511 300  113500-114000   00      89.03  993.5     93.74     0.80    -9999
DOURBES    240511 300  114000-114500   00      90.48  993.5     95.21     2.38    -9999
DOURBES    240511 300  114500-115000   00      89.31  993.5     94.03     1.11    -9999
DOURBES    240511 300  115000-115500   00      90.10  993.5     94.82     1.97    -9999
DOURBES    240511 300  115500-120000   00      88.75  993.5     93.38     0.42    -9999
DOURBES    240511 300  120000-120500   00      90.75  993.4     95.46     2.66    -9999
DOURBES    240511 300  120500-121000   00      89.80  993.4     94.46     1.58    -9999
DOURBES    240511 300  121000-121500   00      91.11  993.4     95.84     3.06    -9999
DOURBES    240511 300  121500-122000   00      88.11  993.3     92.63    -0.39    -9999
DOURBES    240511 300  122000-122500   00      89.80  993.3     94.37     1.48    -9999
DOURBES    240511 300  122500-123000   00      88.82  993.2     93.28     0.31    -9999
DOURBES    240511 300  123000-123500   00      87.72  993.2     92.12    -0.93    -9999
DOURBES    240511 300  123500-124000   00      88.24  993.2     92.67    -0.35    -9999
DOURBES    240511 300  124000-124500   00      89.02  993.1     93.45     0.49    -9999
DOURBES    240511 300  124500-125000   00      89.58  993.1     94.03     1.11    -9999
DOURBES    240511 300  125000-125500   00      88.19  993.1     92.57    -0.46    -9999
DOURBES    240511 300  125500-130000   00      90.17  993.0     94.57     1.70    -9999
DOURBES    240511 300  130000-130500   00      89.87  993.0     94.24     1.34    -9999
DOURBES    240511 300  130500-131000   00      89.17  993.0     93.50     0.54    -9999
DOURBES    240511 300  131000-131500   00      89.22  992.9     93.52     0.57    -9999
DOURBES    240511 300  131500-132000   00      89.80  992.9     94.12     1.21    -9999
DOURBES    240511 300  132000-132500   00      89.33  992.9     93.59     0.64    -9999
DOURBES    240511 300  132500-133000   00      90.02  992.8     94.28     1.38    -9999
DOURBES    240511 300  133000-133500   00      88.77  992.8     92.97    -0.03    -9999
DOURBES    240511 300  133500-134000   00      89.87  992.8     94.14     1.23    -9999
DOURBES    240511 300  134000-134500   00      89.76  992.8     93.98     1.06    -9999
DOURBES    240511 300  134500-135000   00      90.13  992.8     94.35     1.46    -9999
DOURBES    240511 300  135000-135500   00      89.24  992.7     93.39     0.42    -9999
DOURBES    240511 300  135500-140000   00      90.38  992.7     94.58     1.70    -9999
DOURBES    240511 300  140000-140500   00      90.37  992.6     94.51     1.63    -9999
DOURBES    240511 300  140500-141000   00      89.17  992.5     93.19     0.22    -9999
DOURBES    240511 300  141000-141500   00      89.22  992.5     93.19     0.21    -9999
DOURBES    240511 300  141500-142000   00      90.67  992.4     94.65     1.78    -9999
DOURBES    240511 300  142000-142500   00      89.58  992.4     93.48     0.53    -9999
DOURBES    240511 300  142500-143000   00      90.92  992.3     94.84     1.99    -9999
DOURBES    240511 300  143000-143500   00      90.05  992.3     93.95     1.03    -9999
DOURBES    240511 300  143500-144000   00      89.07  992.3     92.91    -0.09    -9999
DOURBES    240511 300  144000-144500   00      89.08  992.2     92.85    -0.15    -9999
DOURBES    240511 300  144500-145000   00      89.53  992.1     93.27     0.29    -9999
DOURBES    240511 300  145000-145500   00      90.11  992.1     93.87     0.94    -9999
DOURBES    240511 300  145500-150000   00      90.30  992.1     94.05     1.13    -9999
DOURBES    240511 300  150000-150500   00      90.15  992.0     93.88     0.95    -9999
DOURBES    240511 300  150500-151000   00      92.24  992.0     96.01     3.25    -9999
DOURBES    240511 300  151000-151500   00      91.42  992.0     95.14     2.31    -9999
DOURBES    240511 300  151500-152000   00      90.22  991.9     93.85     0.92    -9999
DOURBES    240511 300  152000-152500   00      89.54  991.9     93.13     0.15    -9999
DOURBES    240511 300  152500-153000   00      90.81  991.9     94.43     1.54    -9999
DOURBES    240511 300  153000-153500   00      90.04  991.8     93.61     0.67    -9999
DOURBES    240511 300  153500-154000   00      91.99  991.8     95.60     2.80    -9999
DOURBES    240511 300  154000-154500   00      90.96  991.8     94.53     1.65    -9999
DOURBES    240511 300  154500-155000   00      92.10  991.8     95.70     2.91    -9999
DOURBES    240511 300  155000-155500   00      89.53  991.7     93.00     0.01    -9999
DOURBES    240511 300  155500-160000   00      90.03  991.7     93.50     0.54    -9999
DOURBES    240511 3600 160000-170000   00      90.87  991.6     94.29     1.39    -9999
DOURBES    240511 3600 170000-180000   00      91.38  991.5     94.74     1.88    -9999
DOURBES    240511 3600 180000-190000   00      90.48  991.5     93.80     0.87    -9999
DOURBES    240511 3600 190000-200000   00      89.81  991.8     93.32     0.35    -9999
DOURBES    240511 3600 200000-210000   00      89.69  991.9     93.32     0.35    -9999
DOURBES    240511 3600 210000-220000   00      90.39  991.9     94.01     1.09    -9999
DOURBES    240511 3600 220000-230000   00      89.67  992.0     93.33     0.36    -9999
DOURBES    240511 3600 230000-240000   00      89.66  991.8     93.16     0.18    -9999
DOURBES    240512 3600 000000-010000   00      89.70  991.5     93.00     0.01    -9999
DOURBES    240512 3600 010000-020000   00      90.38  991.3     93.57     0.62    -9999
DOURBES    240512 3600 020000-030000   00      90.86  990.9     93.82     0.89    -9999
DOURBES    240512 3600 030000-040000   00      91.49  990.4     94.09     1.18    -9999
DOURBES    240512 3600 040000-050000   00      92.84  990.1     95.28     2.46    -9999
DOURBES    240512 3600 050000-060000   00      93.30  989.9     95.59     2.80    -9999
DOURBES    240512 3600 060000-070000   00      92.75  989.6     94.86     2.00    -9999
DOURBES    240512 3600 070000-080000   00      93.55  989.4     95.50     2.69    -9999
DOURBES    240512 3600 080000-090000   00      93.42  989.0     95.12     2.29    -9999
DOURBES    240512 3600 090000-100000   00      94.07  988.7     95.58     2.78    -9999
DOURBES    240512 3600 100000-110000   00      93.70  988.3     94.92     2.07    -9999
DOURBES    240512 3600 110000-120000   00      93.76  987.8     94.63     1.76    -9999
DOURBES    240512 3600 120000-130000   00      94.60  987.3     95.11     2.28    -9999
DOURBES    240512 3600 130000-140000   00      95.48  986.9     95.67     2.88    -9999
DOURBES    240512 3600 140000-150000   00      95.77  986.2     95.53     2.73    -9999
DOURBES    240512 3600 150000-160000   00      96.61  985.7     96.01     3.25    -9999
DOURBES    240512 3600 160000-170000   00      96.89  985.5     96.16     3.40    -9999
DOURBES    240512 3600 170000-180000   00      95.60  986.5     95.51     2.71    -9999
DOURBES    240512 3600 180000-190000   00      95.99  986.6     96.03     3.26    -9999
DOURBES    240512 3600 190000-200000   00      95.30  986.7     95.42     2.61    -9999
DOURBES    240512 3600 200000-210000   00      94.56  987.4     95.14     2.31    -9999
DOURBES    240512 3600 210000-220000   00      94.54  987.4     95.08     2.25    -9999
DOURBES    240512 3600 220000-230000   00      94.82  987.4     95.40     2.59    -9999
DOURBES    240512 3600 230000-240000   00      96.02  987.0     96.35     3.61    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING CANNOT BE ROBUSTLY DONE
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074DRBS.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
