JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    642.5   MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    240510    233000-013000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    139.99      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   240511 300  112000-112500   00     140.43  662.0    139.37    -0.45    -9999
JUNGFRAU   240511 300  112500-113000   00     141.93  662.1    140.96     0.69    -9999
JUNGFRAU   240511 300  113000-113500   00     141.10  662.1    140.07     0.05    -9999
JUNGFRAU   240511 300  113500-114000   00     140.20  662.1    139.24    -0.54    -9999
JUNGFRAU   240511 300  114000-114500   00     142.47  662.1    141.45     1.04    -9999
JUNGFRAU   240511 300  114500-115000   00     140.40  662.1    139.44    -0.40    -9999
JUNGFRAU   240511 300  115000-115500   00     141.60  662.1    140.56     0.40    -9999
JUNGFRAU   240511 300  115500-120000   00     141.31  662.1    140.40     0.29    -9999
JUNGFRAU   240511 300  120000-120500   00     142.36  662.1    141.33     0.95    -9999
JUNGFRAU   240511 300  120500-121000   00     142.25  662.2    141.36     0.98    -9999
JUNGFRAU   240511 300  121000-121500   00     140.68  662.2    139.80    -0.14    -9999
JUNGFRAU   240511 300  121500-122000   00     141.63  662.2    140.82     0.59    -9999
JUNGFRAU   240511 300  122000-122500   00     140.64  662.2    139.79    -0.15    -9999
JUNGFRAU   240511 300  122500-123000   00     139.22  662.3    138.46    -1.10    -9999
JUNGFRAU   240511 300  123000-123500   00     141.53  662.3    140.74     0.53    -9999
JUNGFRAU   240511 300  123500-124000   00     141.64  662.3    140.87     0.63    -9999
JUNGFRAU   240511 300  124000-124500   00     138.68  662.3    137.94    -1.47    -9999
JUNGFRAU   240511 300  124500-125000   00     140.68  662.3    139.93    -0.05    -9999
JUNGFRAU   240511 300  125000-125500   00     140.62  662.3    140.01     0.01    -9999
JUNGFRAU   240511 300  125500-130000   00     138.71  662.3    137.94    -1.47    -9999
JUNGFRAU   240511 300  130000-130500   00     141.96  662.3    141.18     0.85    -9999
JUNGFRAU   240511 300  130500-131000   00     140.26  662.3    139.43    -0.40    -9999
JUNGFRAU   240511 300  131000-131500   00     140.88  662.3    140.15     0.11    -9999
JUNGFRAU   240511 300  131500-132000   00     138.80  662.3    138.09    -1.36    -9999
JUNGFRAU   240511 300  132000-132500   00     142.10  662.3    141.37     0.98    -9999
JUNGFRAU   240511 300  132500-133000   00     140.92  662.3    140.13     0.09    -9999
JUNGFRAU   240511 300  133000-133500   00     140.58  662.3    139.73    -0.19    -9999
JUNGFRAU   240511 300  133500-134000   00     141.19  662.3    140.47     0.34    -9999
JUNGFRAU   240511 300  134000-134500   00     140.63  662.3    139.92    -0.05    -9999
JUNGFRAU   240511 300  134500-135000   00     140.59  662.3    139.80    -0.14    -9999
JUNGFRAU   240511 300  135000-135500   00     141.06  662.3    140.33     0.24    -9999
JUNGFRAU   240511 300  135500-140000   00     143.49  662.3    142.80     2.00    -9999
JUNGFRAU   240511 300  140000-140500   00     143.04  662.3    142.33     1.67    -9999
JUNGFRAU   240511 300  140500-141000   00     143.68  662.3    142.91     2.08    -9999
JUNGFRAU   240511 300  141000-141500   00     142.33  662.3    141.65     1.18    -9999
JUNGFRAU   240511 300  141500-142000   00     140.86  662.3    140.03     0.02    -9999
JUNGFRAU   240511 300  142000-142500   00     142.05  662.2    141.28     0.92    -9999
JUNGFRAU   240511 300  142500-143000   00     142.25  662.2    141.38     0.99    -9999
JUNGFRAU   240511 300  143000-143500   00     141.68  662.2    140.78     0.56    -9999
JUNGFRAU   240511 300  143500-144000   00     140.58  662.2    139.62    -0.27    -9999
JUNGFRAU   240511 300  144000-144500   00     140.49  662.2    139.67    -0.23    -9999
JUNGFRAU   240511 300  144500-145000   00     141.23  662.2    140.30     0.21    -9999
JUNGFRAU   240511 300  145000-145500   00     142.45  662.2    141.53     1.10    -9999
JUNGFRAU   240511 300  145500-150000   00     139.04  662.2    138.24    -1.25    -9999
JUNGFRAU   240511 300  150000-150500   00     140.59  662.2    139.64    -0.25    -9999
JUNGFRAU   240511 300  150500-151000   00     142.15  662.2    141.27     0.91    -9999
JUNGFRAU   240511 300  151000-151500   00     142.02  662.2    141.05     0.76    -9999
JUNGFRAU   240511 300  151500-152000   00     142.62  662.1    141.76     1.26    -9999
JUNGFRAU   240511 300  152000-152500   00     143.57  662.1    142.50     1.79    -9999
JUNGFRAU   240511 300  152500-153000   00     141.67  662.1    140.74     0.53    -9999
JUNGFRAU   240511 300  153000-153500   00     139.35  662.1    138.32    -1.20    -9999
JUNGFRAU   240511 300  153500-154000   00     141.40  662.1    140.48     0.34    -9999
JUNGFRAU   240511 300  154000-154500   00     145.06  662.1    144.11     2.94    -9999
JUNGFRAU   240511 300  154500-155000   00     141.99  662.1    141.12     0.80    -9999
JUNGFRAU   240511 300  155000-155500   00     142.31  662.1    141.32     0.95    -9999
JUNGFRAU   240511 300  155500-160000   00     143.30  662.1    142.27     1.62    -9999
JUNGFRAU   240511 3600 160000-170000   00     142.55  662.0    141.46     1.05    -9999
JUNGFRAU   240511 3600 170000-180000   00     141.94  661.9    140.80     0.57    -9999
JUNGFRAU   240511 3600 180000-190000   00     140.66  661.9    139.54    -0.32    -9999
JUNGFRAU   240511 3600 190000-200000   00     140.92  662.0    139.81    -0.13    -9999
JUNGFRAU   240511 3600 200000-210000   00     139.39  662.0    138.39    -1.14    -9999
JUNGFRAU   240511 3600 210000-220000   00     139.49  661.9    138.34    -1.19    -9999
JUNGFRAU   240511 3600 220000-230000   00     139.51  661.8    138.24    -1.25    -9999
JUNGFRAU   240511 3600 230000-240000   00     139.50  661.6    138.07    -1.37    -9999
JUNGFRAU   240512 3600 000000-010000   00     139.36  661.4    137.70    -1.64    -9999
JUNGFRAU   240512 3600 010000-020000   00     139.74  661.3    137.93    -1.48    -9999
JUNGFRAU   240512 3600 020000-030000   00     140.83  661.2    138.88    -0.80    -9999
JUNGFRAU   240512 3600 030000-040000   00     141.51  660.9    139.33    -0.48    -9999
JUNGFRAU   240512 3600 040000-050000   00     141.94  660.8    139.59    -0.29    -9999
JUNGFRAU   240512 3600 050000-060000   00     142.33  660.8    140.05     0.04    -9999
JUNGFRAU   240512 3600 060000-070000   00     142.61  660.8    140.32     0.23    -9999
JUNGFRAU   240512 3600 070000-080000   00     142.61  660.8    140.31     0.23    -9999
JUNGFRAU   240512 3600 080000-090000   00     142.13  660.9    139.89    -0.07    -9999
JUNGFRAU   240512 3600 090000-100000   00     142.98  661.0    140.91     0.66    -9999
JUNGFRAU   240512 3600 100000-110000   00     143.12  661.1    140.98     0.71    -9999
JUNGFRAU   240512 3600 110000-120000   00     142.38  661.0    140.27     0.19    -9999
JUNGFRAU   240512 3600 120000-130000   00     142.65  660.9    140.47     0.34    -9999
JUNGFRAU   240512 3600 130000-140000   00     142.16  660.7    139.73    -0.19    -9999
JUNGFRAU   240512 3600 140000-150000   00     143.07  660.4    140.32     0.24    -9999
JUNGFRAU   240512 3600 150000-160000   00     143.37  660.1    140.38     0.28    -9999
JUNGFRAU   240512 3600 160000-170000   00     143.41  660.0    140.31     0.22    -9999
JUNGFRAU   240512 3600 170000-180000   00     143.35  660.0    140.19     0.14    -9999
JUNGFRAU   240512 3600 180000-190000   00     142.93  659.9    139.73    -0.19    -9999
JUNGFRAU   240512 3600 190000-200000   00     141.71  659.8    138.48    -1.08    -9999
JUNGFRAU   240512 3600 200000-210000   00     142.75  659.8    139.41    -0.42    -9999
JUNGFRAU   240512 3600 210000-220000   00     142.92  659.6    139.36    -0.45    -9999
JUNGFRAU   240512 3600 220000-230000   00     144.10  659.3    140.28     0.20    -9999
JUNGFRAU   240512 3600 230000-240000   00     145.74  659.0    141.54     1.10    -9999
*
COMMENT NM DATA DOWNLOADED FROM NMDB ON 14.5.2024
COMMENT DETRENDING CANNOT BE ROBUSTLY DONE
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-03 09:23:40 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE74/C074JUNG.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
