IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    800     MB     COEFFICIENT   -0.713    % / MB
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    240510    230000-010000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE  4,715.65      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK2   240511 300  151000-151500   00    -999.00  802.5   4699.43    -0.34    -9999
IRKUTSK2   240511 300  151500-152000   00    -999.00  802.5   4644.85    -1.50    -9999
IRKUTSK2   240511 300  152000-152500   00    -999.00  802.5   4643.30    -1.53    -9999
IRKUTSK2   240511 300  152500-153000   00    -999.00  802.5   4643.04    -1.54    -9999
IRKUTSK2   240511 300  153000-153500   00    -999.00  802.4   4676.41    -0.83    -9999
IRKUTSK2   240511 300  153500-154000   00    -999.00  802.4   4671.50    -0.94    -9999
IRKUTSK2   240511 300  154000-154500   00    -999.00  802.4   4658.30    -1.22    -9999
IRKUTSK2   240511 300  154500-155000   00    -999.00  802.4   4679.26    -0.77    -9999
IRKUTSK2   240511 300  155000-155500   00    -999.00  802.4   4732.54     0.36    -9999
IRKUTSK2   240511 300  155500-160000   00    -999.00  802.5   4658.30    -1.22    -9999
IRKUTSK2   240511 300  160000-160500   00    -999.00  802.5   4717.28     0.03    -9999
IRKUTSK2   240511 300  160500-161000   00    -999.00  802.5   4693.22    -0.48    -9999
IRKUTSK2   240511 300  161000-161500   00    -999.00  802.6   4745.73     0.64    -9999
IRKUTSK2   240511 300  161500-162000   00    -999.00  802.5   4708.48    -0.15    -9999
IRKUTSK2   240511 300  162000-162500   00    -999.00  802.5   4690.12    -0.54    -9999
IRKUTSK2   240511 300  162500-163000   00    -999.00  802.5   4706.16    -0.20    -9999
IRKUTSK2   240511 300  163000-163500   00    -999.00  802.5   4729.44     0.29    -9999
IRKUTSK2   240511 300  163500-164000   00    -999.00  802.5   4684.95    -0.65    -9999
IRKUTSK2   240511 300  164000-164500   00    -999.00  802.5   4718.05     0.05    -9999
IRKUTSK2   240511 300  164500-165000   00    -999.00  802.5   4722.71     0.15    -9999
IRKUTSK2   240511 300  165000-165500   00    -999.00  802.4   4654.68    -1.29    -9999
IRKUTSK2   240511 300  165500-170000   00    -999.00  802.4   4719.09     0.07    -9999
IRKUTSK2   240511 3600 170000-180000   00    4630.00  802.4   4708.00    -0.16    -9999
IRKUTSK2   240511 3600 180000-190000   00    4645.00  802.0   4712.00    -0.08    -9999
IRKUTSK2   240511 3600 190000-200000   00    4653.00  801.7   4710.00    -0.12    -9999
