THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    1005    MB     COEFFICIENT   -0.742    % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    109.95      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      241122 300  014500-015000   00      98.74 1018.2    109.08    -0.79    -0.79
THULE      241122 300  015000-015500   00      98.83 1017.8    108.88    -0.98    -0.98
THULE      241122 300  015500-020000   00      99.66 1017.6    109.60    -0.32    -0.32
THULE      241122 3600 020000-030000   00      99.86 1016.8    109.21    -0.67    -9999
THULE      241122 3600 030000-040000   00     100.55 1015.9    109.22    -0.67    -9999
THULE      241122 3600 040000-050000   00     100.98 1015.5    109.32    -0.58    -9999
THULE      241122 3600 050000-060000   00     101.37 1014.8    109.21    -0.68    -9999
THULE      241122 3600 060000-070000   00     101.54 1014.1    108.80    -1.05    -9999
THULE      241122 3600 070000-080000   00     101.69 1013.4    108.44    -1.38    -9999
THULE      241122 3600 080000-090000   00     102.11 1012.8    108.36    -1.45    -9999
THULE      241122 3600 090000-100000   00     103.47 1011.9    109.06    -0.81    -9999
THULE      241122 3600 100000-110000   00     103.58 1011.2    108.67    -1.17    -9999
THULE      241122 3600 110000-120000   00     104.43 1010.5    108.93    -0.93    -9999
THULE      241122 3600 120000-130000   00     104.56 1010.0    108.72    -1.12    -9999
THULE      241122 3600 130000-140000   00     105.10 1009.7    109.00    -0.86    -9999
THULE      241122 3600 140000-150000   00     105.67 1009.1    109.11    -0.77    -9999
THULE      241122 3600 150000-160000   00     105.37 1009.2    108.93    -0.93    -9999
THULE      241122 3600 160000-170000   00     105.76 1009.1    109.18    -0.70    -9999
THULE      241122 3600 170000-180000   00     106.66 1008.7    109.83    -0.11    -9999
