JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    642.61  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    331.84      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU1  241122 300  014000-014500   00     336.54  640.6    330.67    -0.35     0.00
JUNGFRAU1  241122 300  014500-015000   00     336.16  640.6    330.27    -0.47    -0.12
JUNGFRAU1  241122 300  015000-015500   00     337.62  640.9    332.42     0.17     0.53
JUNGFRAU1  241122 300  015500-020000   00     337.89  640.9    332.67     0.25     0.61
JUNGFRAU1  241122 3600 020000-030000   00     332.63  641.6    329.10    -0.83    -9999
JUNGFRAU1  241122 3600 030000-040000   00     335.51  641.0    330.52    -0.40    -9999
JUNGFRAU1  241122 3600 040000-050000   00     334.80  641.4    330.87    -0.29    -9999
JUNGFRAU1  241122 3600 050000-060000   00     334.93  642.5    333.66     0.55    -9999
JUNGFRAU1  241122 3600 060000-070000   00     333.45  643.0    333.35     0.45    -9999
JUNGFRAU1  241122 3600 070000-080000   00     331.00  643.8    332.85     0.30    -9999
JUNGFRAU1  241122 3600 080000-090000   00     329.52  644.6    333.24     0.42    -9999
JUNGFRAU1  241122 3600 090000-100000   00     326.95  645.2    331.96     0.04    -9999
JUNGFRAU1  241122 3600 100000-110000   00     327.07  645.8    333.71     0.56    -9999
JUNGFRAU1  241122 3600 110000-120000   00     328.58  646.0    335.71     1.17    -9999
JUNGFRAU1  241122 3600 120000-130000   00     327.28  646.5    335.48     1.10    -9999
