KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    999.75  MB     COEFFICIENT   -0.76     % / MB
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    199.27      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KERGUELEN  241122 3600 070000-080000   00     206.22  995.6    199.59     0.16    -9999
KERGUELEN  241122 3600 080000-090000   00     204.11  996.5    198.84    -0.22    -9999
KERGUELEN  241122 3600 090000-100000   00     203.56  997.4    199.68     0.20    -9999
KERGUELEN  241122 3600 100000-110000   00     203.30  997.8    200.14     0.44    -9999
KERGUELEN  241122 3600 110000-120000   00     201.46  998.2    198.85    -0.21    -9999
KERGUELEN  241122 3600 120000-130000   00     204.30  998.2    201.66     1.20    -9999
KERGUELEN  241122 3600 130000-140000   00     205.58  998.4    203.17     1.96    -9999
KERGUELEN  241122 3600 140000-150000   00     203.64  998.9    202.10     1.42    -9999
KERGUELEN  241122 3600 150000-160000   00     201.91  999.4    201.16     0.95    -9999
KERGUELEN  241122 3600 160000-170000   00     202.46  999.6    202.04     1.39    -9999
KERGUELEN  241122 3600 170000-180000   00     202.23  999.7    201.92     1.33    -9999
KERGUELEN  241122 3600 180000-190000   00     202.07 1000.2    202.54     1.64    -9999
KERGUELEN  241122 3600 190000-200000   00     201.26 1000.6    202.31     1.52    -9999
KERGUELEN  241122 3600 200000-210000   00     200.78 1000.7    201.98     1.36    -9999
KERGUELEN  241122 3600 210000-220000   00     200.50 1000.7    201.74     1.24    -9999
KERGUELEN  241122 3600 220000-230000   00     199.38 1000.9    200.87     0.80    -9999
KERGUELEN  241122 3600 230000-240000   00     199.49 1001.3    201.65     1.19    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076KERG_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
