SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    680     MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    121.31      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 241122 300  015000-015500   00     121.03  679.4    120.56    -0.62    -0.62
SOPO-6NM64 241122 300  015500-020000   00     121.55  679.5    121.11    -0.17    -0.17
SOPO-6NM64 241122 3600 020000-030000   00     121.44  679.5    121.03    -0.24    -9999
SOPO-6NM64 241122 3600 030000-040000   00     121.55  679.6    121.26    -0.05    -9999
SOPO-6NM64 241122 3600 040000-050000   00     121.64  679.8    121.53     0.17    -9999
SOPO-6NM64 241122 3600 050000-060000   00     121.35  680.1    121.46     0.12    -9999
SOPO-6NM64 241122 3600 060000-070000   00     120.38  680.2    120.59    -0.59    -9999
SOPO-6NM64 241122 3600 070000-080000   00     120.07  680.2    120.28    -0.85    -9999
SOPO-6NM64 241122 3600 080000-090000   00     119.69  680.4    120.13    -0.98    -9999
SOPO-6NM64 241122 3600 090000-100000   00     119.78  680.7    120.43    -0.73    -9999
SOPO-6NM64 241122 3600 100000-110000   00     119.82  680.7    120.50    -0.68    -9999
SOPO-6NM64 241122 3600 110000-120000   00     119.53  680.8    120.28    -0.85    -9999
SOPO-6NM64 241122 3600 120000-130000   00     119.99  680.8    120.73    -0.48    -9999
SOPO-6NM64 241122 3600 130000-140000   00     119.98  680.7    120.67    -0.53    -9999
SOPO-6NM64 241122 3600 140000-150000   00     119.89  680.7    120.53    -0.65    -9999
SOPO-6NM64 241122 3600 150000-160000   00     120.60  680.7    121.25    -0.05    -9999
SOPO-6NM64 241122 3600 160000-170000   00     121.87  680.7    122.57     1.04    -9999
SOPO-6NM64 241122 3600 170000-180000   00     122.07  680.9    122.95     1.35    -9999
SOPO-6NM64 241122 3600 180000-190000   00     122.01  681.2    123.17     1.53    -9999
SOPO-6NM64 241122 3600 190000-200000   00     122.26  681.4    123.60     1.89    -9999
SOPO-6NM64 241122 3600 200000-210000   00     122.12  681.5    123.57     1.86    -9999
SOPO-6NM64 241122 3600 210000-220000   00     122.11  681.7    123.71     1.97    -9999
SOPO-6NM64 241122 3600 220000-230000   00     121.65  681.8    123.33     1.67    -9999
SOPO-6NM64 241122 3600 230000-240000   00     121.72  681.9    123.51     1.81    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076SOPB_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
