MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    778.58  MB     COEFFICIENT   -0.95     % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    241121    160000-180000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    212.26      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 241122 300  015500-020000   00     208.39  778.3    207.82    -2.09    -2.09
MEXICOCITY 241122 3600 020000-030000   00     209.19  778.8    209.32    -1.38    -9999
MEXICOCITY 241122 3600 030000-040000   00     209.62  779.3    210.63    -0.76    -9999
MEXICOCITY 241122 3600 040000-050000   00     208.54  779.5    209.85    -1.13    -9999
MEXICOCITY 241122 3600 050000-060000   00     207.98  779.6    209.44    -1.33    -9999
MEXICOCITY 241122 3600 060000-070000   00     209.13  779.2    209.99    -1.07    -9999
MEXICOCITY 241122 3600 070000-080000   00     209.30  779.0    209.79    -1.16    -9999
MEXICOCITY 241122 3600 080000-090000   00     209.71  778.7    209.79    -1.16    -9999
MEXICOCITY 241122 3600 090000-100000   00     209.90  778.5    209.59    -1.25    -9999
MEXICOCITY 241122 3600 100000-110000   00     210.54  778.3    209.97    -1.08    -9999
MEXICOCITY 241122 3600 110000-120000   00     210.89  778.2    210.18    -0.98    -9999
MEXICOCITY 241122 3600 120000-130000   00     210.28  778.5    210.00    -1.06    -9999
MEXICOCITY 241122 3600 130000-140000   00     210.25  778.9    210.57    -0.79    -9999
MEXICOCITY 241122 3600 140000-150000   00     209.98  779.4    211.01    -0.59    -9999
MEXICOCITY 241122 3600 150000-160000   00     210.42  779.6    211.82    -0.20    -9999
MEXICOCITY 241122 3600 160000-170000   00     211.65  779.3    212.58     0.15    -9999
MEXICOCITY 241122 3600 170000-180000   00     213.34  778.5    213.04     0.37    -9999
MEXICOCITY 241122 3600 180000-190000   00     215.12  777.4    213.18     0.44    -9999
MEXICOCITY 241122 3600 190000-200000   00     216.76  776.4    213.23     0.46    -9999
MEXICOCITY 241122 3600 200000-210000   00     218.17  775.7    213.57     0.62    -9999
MEXICOCITY 241122 3600 210000-220000   00     219.47  775.3    214.30     0.96    -9999
MEXICOCITY 241122 3600 220000-230000   00     218.33  775.2    213.06     0.38    -9999
MEXICOCITY 241122 3600 230000-240000   00     218.01  775.6    213.27     0.48    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 27.11.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:21:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE76/C076MXCO_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
