APATITY LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY STANDARD PRESSURE    1010    MB     COEFFICIENT   -0.73     % / MB
APATITY PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
APATITY PRE-INCREASE AVERAGE COUNTING RATE    158.86      COUNTS PER SECOND
APATITY TIME INTERVALS    300         3600     
APATITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY 240608 3600 120000-130000   00     175.41  987.2    160.00     0.72    -9999
APATITY 240608 3600 130000-140000   00     175.60  986.8    159.73     0.55    -9999
APATITY 240608 3600 140000-150000   00     175.71  986.5    159.39     0.33    -9999
APATITY 240608 3600 150000-160000   00     176.91  986.1    160.06     0.75    -9999
APATITY 240608 3600 160000-170000   00     177.25  985.8    159.97     0.70    -9999
APATITY 240608 3600 170000-180000   00     177.85  985.7    160.40     0.97    -9999
APATITY 240608 3600 180000-190000   00     178.25  985.6    160.64     1.12    -9999
APATITY 240608 3600 190000-200000   00     177.56  985.7    160.14     0.81    -9999
APATITY 240608 3600 200000-210000   00     176.35  985.8    159.25     0.24    -9999
APATITY 240608 3600 210000-220000   00     175.62  986.2    159.03     0.11    -9999
APATITY 240608 3600 220000-230000   00     176.05  986.3    159.47     0.38    -9999
APATITY 240608 3600 230000-240000   00     176.73  986.1    159.93     0.68    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 08.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:23:44 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE75/C075APTY_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
