PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1013.3  MB     COEFFICIENT   -0.75     % / MB
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    240608    000000-020000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    197.90      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
PEAWANUCK  240608 300  110000-110500   00     227.45  994.1    197.04    -0.44    -0.31
PEAWANUCK  240608 300  110500-111000   00     230.36  994.1    199.63     0.87     1.01
PEAWANUCK  240608 300  111000-111500   00     229.90  994.5    199.75     0.93     1.08
PEAWANUCK  240608 300  111500-112000   00     227.50  994.5    197.66    -0.12     0.04
PEAWANUCK  240608 300  112000-112500   00     228.13  994.3    197.91     0.01    -9999
PEAWANUCK  240608 300  112500-113000   00     228.02  994.3    197.79    -0.06    -9999
PEAWANUCK  240608 300  113000-113500   00     230.40  994.1    199.65     0.89    -9999
PEAWANUCK  240608 300  113500-114000   00     229.80  994.1    199.10     0.61    -9999
PEAWANUCK  240608 300  114000-114500   00     231.16  994.2    200.39     1.26    -9999
PEAWANUCK  240608 300  114500-115000   00     229.61  994.1    198.97     0.54    -9999
PEAWANUCK  240608 300  115000-115500   00     228.74  994.3    198.42     0.26    -9999
PEAWANUCK  240608 300  115500-120000   00     229.83  994.4    199.58     0.85    -9999
PEAWANUCK  240608 3600 120000-130000   00     226.41  994.9    197.41    -0.25    -9999
PEAWANUCK  240608 3600 130000-140000   00     227.22  995.6    199.12     0.62    -9999
PEAWANUCK  240608 3600 140000-150000   00     225.55  995.9    198.17     0.13    -9999
PEAWANUCK  240608 3600 150000-160000   00     225.57  996.4    198.94     0.53    -9999
PEAWANUCK  240608 3600 160000-170000   00     225.42  996.9    199.55     0.83    -9999
PEAWANUCK  240608 3600 170000-180000   00     224.37  997.9    200.16     1.14    -9999
PEAWANUCK  240608 3600 180000-190000   00     222.89  998.8    200.15     1.14    -9999
PEAWANUCK  240608 3600 190000-200000   00     221.73  999.6    200.32     1.22    -9999
PEAWANUCK  240608 3600 200000-210000   00     220.72 1000.4    200.64     1.38    -9999
PEAWANUCK  240608 3600 210000-220000   00     217.78 1001.2    199.23     0.67    -9999
PEAWANUCK  240608 3600 220000-230000   00     216.97 1001.9    199.53     0.82    -9999
PEAWANUCK  240608 3600 230000-240000   00     217.11 1002.7    200.86     1.50    -9999
*
COMMENT DATA SOURCE: NMDB | DOWNLOADED ON 08.12.2024
COMMENT DETRENDING DONE BY IU
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2025-01-11 16:23:44 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE75/C075PWNK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
